NCT Number,Study Title,Study URL,Study Results,Conditions,Interventions,Sex,Age,Phases,Locations
NCT04572243,A Study of Lorcaserin as Adjunctive Treatment in Participants With Dravet Syndrome,https://clinicaltrials.gov/study/NCT04572243,NO,"Epilepsies, Myoclonic",DRUG: Placebo|DRUG: Lorcaserin,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,"Children's of Alabama / University of Alabama at Birmingham, Birmingham, Alabama, 35226, United States|University of California Los Angeles (UCLA), Los Angeles, California, 90095, United States|UCSD Rady's Children's Hosptial, San Diego, California, 92123, United States|Children's Hospital Colorado, Aurora, Colorado, 80045, United States|Northwest Florida Clinical Research Group, Gulf Breeze, Florida, 32561, United States|Joe DiMaggio Children's Hospital, Hollywood, Florida, 33021, United States|Miami Children's Hospital - Nicklaus Children's Hospital, Miami, Florida, 33155, United States|Pediatric Neurology, P.A., Winter Park, Florida, 32789, United States|Rare Disease Research Center Pediatrics, LLC, Atlanta, Georgia, 30318, United States|Mid-Atlantic Epilepsy and Sleep Center - Bethesda, Bethesda, Maryland, 20817, United States|Spectrum Health/ Helen DeVos Children's Hospital, Grand Rapids, Michigan, 49503, United States|University of Missouri, Department of Child Health, Division of Neurology, Columbia, Missouri, 65201, United States|Institute of Neurology and Neurosurgery at Saint Barnabas, Livingston, New Jersey, 07039, United States|Northwell Health - Neuroscience Institute at Great Neck, New Hyde Park, New York, 10075, United States|NYU Langone Comprehensive Epilepsy Center, New York, New York, 10016, United States|New York Medical College, New York, New York, 10019-1147, United States|NorthWell Health - Lennox Hill Hospital, New York, New York, 11021, United States|University of Rochester Medical Center, Rochester, New York, 14642, United States|University of North Carolina, Chapel Hill, North Carolina, 27599-7025, United States|Duke University Hospital Center, Durham, North Carolina, 27710, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio, 44106, United States|Children's Hospital of Pittsburgh of UPMC, Pittsburgh, Pennsylvania, 15224, United States|The University of Texas Health Science Center at Houston, Houston, Texas, 77030, United States|Seattle Children's Hospital, Seattle, Washington, 98105, United States|MultiCare Institute for Research & Innovation, Tacoma, Washington, 98405, United States|Alberta Children's Hospital, Calgary, Alberta, AB T3B 6A8, Canada|Stollery Children's Hospital, Edmonton, Alberta, T6G 1C9, Canada|BC Children's Hospital, Vancouver, British Columbia, V6H 3N1, Canada|Children's Hospital - VH, London Health Sciences Centre, London, Ontario, N6A 4G5, Canada|University of Toronto Division of Hematology Oncology/The Hospital for Sick Children, Toronto, Ontario, M5G 1X8, Canada"
NCT06143241,Cognitive Function and Glymphatic System in Children With Epilepsy,https://clinicaltrials.gov/study/NCT06143241,NO,"Epilepsy|Cognitive Dysfunction|Seizure, Epileptic",DEVICE: Threshold IMT|DRUG: Antiepileptic medication,ALL,CHILD,NA,"Ege University, Izmir, Bornova, 35080, Turkey"
NCT01450423,Physical Exercise in Subjects With Juvenile Myoclonic Epilepsy,https://clinicaltrials.gov/study/NCT01450423,NO,Epilepsy|Epilepsia|Epileptic Seizures|Seizure Disorder,BEHAVIORAL: Physical activity,ALL,"CHILD, ADULT",PHASE2,"Center of Research in Childhood Health, University of Southern Denmark, Odense, Region of Southern Denmark, 5000, Denmark|Epilepsy clinic, Odense University Hospital, Odense, Region of Southern Denmark, 5000, Denmark"
NCT03329703,Project UPLIFT for Psychogenic Non-Epileptic Seizures,https://clinicaltrials.gov/study/NCT03329703,NO,Psychogenic Non-Epileptic Seizure|Depression|Non-Epileptic Seizure|Psychogenic Seizure,BEHAVIORAL: Project UPLIFT,ALL,"ADULT, OLDER_ADULT",NA,"Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, 03756, United States"
NCT04061707,Subcutaneous EEG: Forecasting of Epileptic Seizures,https://clinicaltrials.gov/study/NCT04061707,NO,"Epilepsies, Focal",,ALL,"ADULT, OLDER_ADULT",,"King's College Hospital NHS Foundation Trust, London, SE5 9RS, United Kingdom"
NCT01978470,External Trigeminal Nerve Stimulation for Drug Resistent Epilepsy,https://clinicaltrials.gov/study/NCT01978470,NO,Seizure Disorder,DEVICE: External Trigeminal Nerve Stimulation (eTNS),ALL,"ADULT, OLDER_ADULT",NA,"Olive View/UCLA Medical Center, Sylmar, California, United States"
NCT00542802,Levetiracetam Versus Carbamazepine in Post-Stroke Late Onset Crisis,https://clinicaltrials.gov/study/NCT00542802,NO,Epileptic Seizures|Stroke,DRUG: Levetiracetam|DRUG: Carbamazepine,ALL,"ADULT, OLDER_ADULT",PHASE3,"Ospedale S. Giacomo, Novi Ligure, AL, 15057, Italy|Ospedale S. Croce E Carle, Cuneo, CN, 12100, Italy|Ospedale S. Martino, Genova, GE, 16132, Italy|Istituto Clinico Humanitas, Rozzano, MI, 20089, Italy|USL 2 Ospedale B.G. Villa, Città della Pieve, PG, 06062, Italy|Ospedale Civile San Giovanni Battista di Foligno, Foligno, PG, Italy|Ospedale Santa Maria della Misericordia, Sant'Andrea delle Fratte, PG, 06131, Italy|Istituto Neurologico C. Mondino, Pavia, PV, 27100, Italy|Ospedale Guzzardi, Vittoria, RG, 97019, Italy|Ospedale Di Portogruaro, Portogruaro, VE, 30026, Italy|Ospedale Civile, Vibo Valentia, VV, 89900, Italy|Policlinico Umberto I, Ancona, 60020, Italy|Ospedale A. Perrino, Brindisi, 72100, Italy|Ospedale Cannizzaro, Catania, 95126, Italy|Ospedale San Martino, Genova, Italy|Ospedale Civile Imperia ASL 1, Imperia, 18100, Italy|Ospedale A. Cardarelli-, Napoli, 80131, Italy|Ospedale Cardarelli, Napoli, 80131, Italy|Ospedale Civico, Palermo, 90100, Italy|Osp. Guglielmo da saliceto, Piacenza, 29100, Italy|Arcispedale S. Maria Nuova, Reggio Emilia, 42100, Italy|Ospedale SS. Annunziata - Ospedale Civile, Taranto, Italy|Ospedale Molinette-Università di Torino, Torino, Italy|Azienda Ospedaliera Universitaria Trieste, Trieste, 34149, Italy"
NCT02976545,Emotional Lived in Patients Suffering From Psychogenic Nonepileptic Seizures : Study by Functional Magnetic Resonance Imaging,https://clinicaltrials.gov/study/NCT02976545,NO,Psychogenic Non-epileptic Seizures,DEVICE: fMRI (functional Magnetic Resonance Imaging)|BEHAVIORAL: psychiatric evaluation,FEMALE,"ADULT, OLDER_ADULT",NA,"CHRU de Nancy, Nancy, 54000, France"
NCT06374966,Real-world Study of Efficacy and Safety of Zonisamide in add-on Therapy for Patients With Focal Epilepsy,https://clinicaltrials.gov/study/NCT06374966,NO,"Epilepsies, Partial",DRUG: Zonisamide,ALL,"CHILD, ADULT, OLDER_ADULT",,"Hangzhou Children's Hospital, Hangzhou, Zhejiang, 310005, China|The Second Affiliated Hospital of Zhejiang University School of Medicine, Hangzhou, Zhejiang, 310009, China|Huzhou Third People's Hospital, Huzhou, Zhejiang, 313002, China|Jiaxing Second hospital, Jiaxing, Zhejiang, 314099, China|Jinhua Second hospital, Jinhua, Zhejiang, 321016, China|The Fourth Affilicated Hospital of Zhejiang University School of Medicine, Jinhua, Zhejiang, 322099, China|Lishui People's Hospital, Lishui, Zhejiang, 323050, China|Ningbo Women And Children's Hospital, Ningbo, Zhejiang, 315012, China|Ningbo Medical center Lihuili hospital, Ningbo, Zhejiang, 315048, China|Yuyao People's hospital, Yuyao, Zhejiang, 315499, China"
NCT05958069,The Efficacy and Safety of Minocycline in the Treatment of Drug-resistant Epilepsy in NORSE Patients,https://clinicaltrials.gov/study/NCT05958069,NO,Epileptic Seizures Related to Drugs,DRUG: minocycline,ALL,"CHILD, ADULT, OLDER_ADULT",NA,"XijingHospital, Xi'an, Shaanxi, 710032, China"
NCT05419180,Study of Interest of Stiripentol and Carbamazepine in the Treatment of Patients With Pharmacoresistant Focal Epilepsies,https://clinicaltrials.gov/study/NCT05419180,NO,Pharmacoresistant Focal Epilepsies,DRUG: Stiripentol,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,"Centre de Référence Epilepsies Rares / Centre Investigation Clinique (CIC) - Hôpital Necker-Enfants Malades, Paris, 75015, France"
NCT03533374,Validation of Criteria for Identification of Epileptiform Discharges in EEG Recordings of Patients With Epilepsy,https://clinicaltrials.gov/study/NCT03533374,YES,Epilepsy|Non-Epileptic Seizure,DIAGNOSTIC_TEST: Electroencephalogram (EEG) and visual evaluation,ALL,"CHILD, ADULT, OLDER_ADULT",,
NCT04309812,Transcranial Direct Current to Treat Epilepsy at Home,https://clinicaltrials.gov/study/NCT04309812,NO,"Epilepsies, Partial",DEVICE: transcranial direct current stimulation (tDCS),ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,"Stanford Hospital, Stanford, California, 94305-5235, United States|Stanford University School of Medicine, Stanford, California, 94305-5235, United States"
NCT06222840,Electro-clinical Features and Functional Connectivity Analysis in SYN1 Gene Mutation-related Epilepsy,https://clinicaltrials.gov/study/NCT06222840,NO,Epileptic Syndromes,OTHER: Electro-clinical analysis of epileptic seizures|OTHER: Electro-encephalographic cases|OTHER: Clinical datas analysis|OTHER: Electro-encephalographic control,ALL,"CHILD, ADULT, OLDER_ADULT",,"CHU Saint Etienne, Saint-Étienne, 42000, France"
NCT01663545,Brain P-gp and Inflammation in People With Epilepsy,https://clinicaltrials.gov/study/NCT01663545,NO,"Epilepsies, Partial",,ALL,ADULT,,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States"
NCT03054961,Cerebral Oxygen Saturation and Cytochrome Oxidase REDOX State in Children With Epilepsy: A Pilot Study,https://clinicaltrials.gov/study/NCT03054961,NO,"Epilepsies, Partial",DEVICE: Near-infrared spectroscopy,ALL,"CHILD, ADULT, OLDER_ADULT",,"The Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States"
NCT06223334,Epileptic Syndromes in Infants and Early Childhood,https://clinicaltrials.gov/study/NCT06223334,NO,Epileptic Syndromes,OTHER: No intervention,ALL,CHILD,,"Assiut child university hospital, Assiut, 71515, Egypt|AlAzhar university hospital Assiut branch, Assiut, 71524, Egypt"
NCT03882151,Added Value of Automated Electrical Source Localization (EPILOG PreOp®) to Presurgical Evaluation of Refractory Epilepsy,https://clinicaltrials.gov/study/NCT03882151,NO,"Epilepsies, Partial",DIAGNOSTIC_TEST: electrical source imaging,ALL,"CHILD, ADULT, OLDER_ADULT",NA,"Saint-Luc University Hospital, Brussels, 1200, Belgium|Centre Hospitalier William Lennox, Ottignies, 1340, Belgium"
NCT03689114,"Low vs. Standard Daily Doses of Antiepileptic Drugs in Newly Diagnosed, Previously Untreated Epilepsy(STANDLOW)",https://clinicaltrials.gov/study/NCT03689114,NO,"Epilepsies, Partial",DRUG: Low dose carbamazepine|DRUG: Standard dose carbamazepine|DRUG: Low dose levetiracetam|DRUG: Standard dose levetiracetam|DRUG: Low dose valproate|DRUG: Standard dose valproate|DRUG: Low dose zonisamide|DRUG: Standard dose zonisamide|DRUG: Low dose oxcarbazepine|DRUG: Standard dose oxcarbazepine|DRUG: Low dose topiramate|DRUG: Standard dose topiramate|DRUG: Low dose lamotrigine|DRUG: Standard dose lamotrigine|DRUG: Low dose gabapentin|DRUG: Standard dose gabapentin,ALL,"ADULT, OLDER_ADULT",PHASE4,"ASST Monza Ospedale San Gerardo, Monza, 20900, Italy"
NCT03484039,Incorporating Multidimensional Psychosocial Interventions Improves the Well-being of Individuals With Epilepsy,https://clinicaltrials.gov/study/NCT03484039,NO,Epilepsy|Seizure Disorder,BEHAVIORAL: Medication Adherence|BEHAVIORAL: Seizure Documentation|BEHAVIORAL: Memory Improvement|BEHAVIORAL: Stress Management,ALL,"ADULT, OLDER_ADULT",NA,"UF Health Jacksonville, Jacksonville, Florida, 32209, United States"
NCT01919307,Auricular Acupuncture For The Treatment Of Non-Epileptic Seizures,https://clinicaltrials.gov/study/NCT01919307,YES,"Convulsion, Non-Epileptic",OTHER: Auricular acupuncture,ALL,"ADULT, OLDER_ADULT",NA,"Denver Health Medical Center, Denver, Colorado, 80204, United States"
NCT05273398,Effects of Diazepam on RNS Detections,https://clinicaltrials.gov/study/NCT05273398,NO,"Epilepsies, Partial",DRUG: nasal diazepam,ALL,"ADULT, OLDER_ADULT",PHASE4,"University of Cincinnati, Cincinnati, Ohio, 45267, United States"
NCT01762215,Policy on Optimal Epilepsy Management,https://clinicaltrials.gov/study/NCT01762215,NO,Epilepsy|Seizure Disorder,BEHAVIORAL: PatientsLikeMe.com,ALL,"ADULT, OLDER_ADULT",NA,"San Francisco VA Medical Center, San Francisco, California, 94121, United States"
NCT01745952,Treatment of Difficult to Control Focal Epilepsy With Repetitive Transcranial Magnetic Stimulation (rTMS),https://clinicaltrials.gov/study/NCT01745952,YES,"Epilepsies, Partial",DEVICE: figure-of-eight active rTMS coil|DEVICE: round active rTMS coil|DEVICE: sham rTMS coil (figure-of-eight),ALL,"CHILD, ADULT, OLDER_ADULT",NA,"University Hospitals Leuven, department of Neurology, Leuven, 3000, Belgium"
NCT02311829,Evaluation of a Telephone Follow-up Procedure on the Quality of Life in Psychogenic Non-epileptic Seizures,https://clinicaltrials.gov/study/NCT02311829,NO,Psychogenic Non Epileptic Seizure,OTHER: Telephone follow-up device,ALL,"ADULT, OLDER_ADULT",NA,"Chu Strasbourg, Strasbourg, Alsace, 67 098, France|Chu Dijon, Dijon, Bourgogne, 21 079, France|Chu Reims, Reims, Champagne Ardennes, 51 092, France|Chu Nancy, Nancy, Lorraine, 54 035, France"
NCT02635633,"Continuous Thetaburst Stimulation for the Treatment of Refractory Epilepsy - Safety, Feasibility and Proof-of-concept",https://clinicaltrials.gov/study/NCT02635633,NO,"Epilepsies, Partial",DEVICE: continuous thetaburst stimulation,ALL,"ADULT, OLDER_ADULT",NA,"University Hospital Ghent, Ghent, 9000, Belgium"
NCT00179426,Effect of Antiseizure Medication on Hormone Levels and Sexual Function in Men With Epilepsy,https://clinicaltrials.gov/study/NCT00179426,NO,Seizure Disorder|Epilepsy,,MALE,ADULT,,"Beth Israel Deaconess Medical Center, Boston, Massachusetts, 02215, United States"
NCT00955357,Trial to Assess Lacosamide as the First add-on Anti-epileptic Drug Treatment in Patients With Partial-onset Seizures,https://clinicaltrials.gov/study/NCT00955357,YES,Partial Epilepsies,DRUG: Lacosamide,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,"103, Irvine, California, United States|123, Rancho Mirage, California, United States|156, Clearwater, Florida, United States|157, Destin, Florida, United States|140, Hollywood, Florida, United States|161, Ocala, Florida, United States|108, Atlanta, Georgia, United States|112, Atlanta, Georgia, United States|124, Augusta, Georgia, United States|115, Macon, Georgia, United States|118, Rome, Georgia, United States|128, Flossmoor, Illinois, United States|130, Des Moines, Iowa, United States|102, Bowling Green, Kentucky, United States|117, Paducah, Kentucky, United States|107, Houma, Louisiana, United States|145, Ruston, Louisiana, United States|101, Annapolis, Maryland, United States|162, Waldorf, Maryland, United States|153, Boston, Massachusetts, United States|136, Pittsfield, Massachusetts, United States|144, Springfield, Massachusetts, United States|151, Kansas City, Missouri, United States|114, Paterson, New Jersey, United States|109, Brooklyn, New York, United States|133, Brooklyn, New York, United States|127, West Seneca, New York, United States|158, Charlotte, North Carolina, United States|139, Bismarck, North Dakota, United States|134, Akron, Ohio, United States|150, Canton, Ohio, United States|141, Tulsa, Oklahoma, United States|121, Indiana, Pennsylvania, United States|120, Columbia, South Carolina, United States|149, Orangeburg, South Carolina, United States|152, Spartanburg, South Carolina, United States|148, Austin, Texas, United States|154, Dallas, Texas, United States|146, Tomball, Texas, United States|119, Fredericksburg, Virginia, United States|503, Wien, Austria|703, Blagoevrad, Bulgaria|706, Pleven, Bulgaria|700, Sofia, Bulgaria|702, Sofia, Bulgaria|704, Sofia, Bulgaria|705, Sofia, Bulgaria|707, Sofia, Bulgaria|708, Sofia, Bulgaria|701, Varna, Bulgaria|736, Hradec Kralove, Czechia|735, Litomerice, Czechia|732, Ostrava-Hrabuvka, Czechia|733, Ostrava, Czechia|737, Praha 11, Czechia|734, Trutnov, Czechia|930, Aarhus, Denmark|400, Helsinki, Finland|402, Oulu, Finland|401, Tampere, Finland|610, Strasbourg, France|611, Toulon, France|521, Athens, Greece|520, Thessaloniki, Greece|552, Faenza, Italy|546, Gallarate, Italy|541, Napoli, Italy|559, Pietra Ligure, Italy|557, Prato, Italy|540, Roma, Italy|549, Roma, Italy|542, Taranto, Italy|547, Torino, Italy|551, Trieste, Italy|180, Aguascalientes, Mexico|183, Chihuahua, Mexico|185, Chihuahua, Mexico|184, Ciudad Juarez, Mexico|189, Guadalajara, Mexico|181, Mexico DF, Mexico|193, Mexico DF, Mexico|195, Mexico DF, Mexico|186, Monterrey, Mexico|187, Monterrey, Mexico|188, Monterrey, Mexico|182, Polanco, Mexico|815, Bucarest, Romania|810, Cluj-napoca, Romania|814, Oradea, Romania|813, Targu Mures, Romania|830, Kazan, Russian Federation|831, Kazan, Russian Federation|834, Moscow, Russian Federation|833, Novosibirsk, Russian Federation|598, Terrassa, Barcelona, Spain|592, Almeria, Spain|597, Bajo Sevilla, Spain|590, Barcelona, Spain|596, Santiago de Compostela, Spain|594, Valencia, Spain|599, Valladolid, Spain|892, Lausanne, Switzerland|713, Adana, Turkey|714, Ankara, Turkey|710, Eskisehir, Turkey|711, Istanbul, Turkey|719, Istanbul, Turkey|717, Izmir, Turkey|718, Trabzon, Turkey"
NCT00280696,A Double-blind Confirmatory Trial of Levetiracetam in Epilepsy Patients With Partial Onset Seizures,https://clinicaltrials.gov/study/NCT00280696,NO,"Epilepsies, Partial",DRUG: Levetiracetam 250 mg|DRUG: Levetiracetam 500 mg|OTHER: Placebo,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,"Aichi-gun, Aichi, Japan|Nagoya, Aichi, Japan|Nayoga, Aichi, Japan|Hirosaki, Aomori, Japan|Kitakyusyu, Fukuoka, Japan|Kurume, Fukuoka, Japan|Fukuyama, Hiroshima, Japan|Asahikawa, Hokkaido, Japan|Hakodate, Hokkaido, Japan|Sapporo, Hokkaido, Japan|Kobe, Hyogo, Japan|Kahoku-gun, Ishikawa, Japan|Kikuchi-gun, Kumamoto, Japan|Sendai, Miyagi, Japan|Omura, Nagasaki, Japan|Izumi, Osaka, Japan|Neyagawa, Osaka, Japan|Suita, Osaka, Japan|Kawachi-gun, Tochigi, Japan|Kodaira, Tokyo, Japan|Ube, Yamaguchi, Japan|Chiba, Japan|Fukuoka, Japan|Gihu, Japan|Hiroshima, Japan|Kagoshima, Japan|Kobe, Japan|Kyoto, Japan|Miyazaki, Japan|Nagaoka, Japan|Niigata, Japan|Okayama, Japan|Osaka, Japan|Shizuoka, Japan|Tokyo, Japan|Toyama, Japan|Yamagata, Japan"
NCT03807141,Evaluation of the Modified Atkins Diet in Children With Epileptic Spasms,https://clinicaltrials.gov/study/NCT03807141,NO,Epileptic Spasms,OTHER: Modified Atkins diet,ALL,CHILD,PHASE2|PHASE3,"Lady Hardinge Medical College, New Delhi, Delhi, 110018, India"
NCT04802135,Creation of a Register of Patients With Neonatal-onset Epileptic Encephalopathy,https://clinicaltrials.gov/study/NCT04802135,NO,Epileptic Encephalopathy,OTHER: Survey,ALL,"CHILD, ADULT, OLDER_ADULT",,"CHU Angers, Angers, France|CHU Bordeaux, Bordeaux, France|CHU Brest, Brest, France|CHRU Lille, Lille, France|CHU Limoges, Limoges, France|Hospices Civils Lyon, Lyon, France|Hôpital La Timone, Marseille, 13005, France|CHU Montpellier, Montpellier, France|APHP Pitié Salpêtrière, Paris, France|APHP Robert Debré, Paris, France|Hôpital Necker, Paris, France|CHU Rennes, Rennes, France|CHRU Strasbourg, Strasbourg, France|CHU Toulouse, Toulouse, France|CHU Tours, Tours, France"
NCT00255411,Psychiatric Correlates of Psychogenic Movement Disorder and Non-Epileptic Seizure,https://clinicaltrials.gov/study/NCT00255411,NO,Psychogenic Movement Disorders|Non-epileptic Seizures,,ALL,"ADULT, OLDER_ADULT",,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States"
NCT04147663,Epidemiology of Suspected Epileptic Seizures,https://clinicaltrials.gov/study/NCT04147663,NO,Epilepsy,OTHER: describe the management of the adult population suffering from suspected seizure by the emergency structures,ALL,"ADULT, OLDER_ADULT",,"Centre Hospitalier St Joseph St Luc, Lyon, 69007, France"
NCT00212745,Pilot Trial of a Behavioral Treatment for Epilepsy,https://clinicaltrials.gov/study/NCT00212745,NO,"Epilepsies, Partial",BEHAVIORAL: Andrews/Reiter behavioral treatment for epilepsy,ALL,"CHILD, ADULT",PHASE1|PHASE2,"Oregon Health and Science University, Portland, Oregon, 97239, United States"
NCT01235403,Trial to Assess Optimized Dosage of Lacosamide as add-on Therapy in Patients With Partial Onset Seizure,https://clinicaltrials.gov/study/NCT01235403,YES,Partial Epilepsies,DRUG: Lacosamide,ALL,"ADULT, OLDER_ADULT",PHASE4,"Amiens, France|Aubenas, France|Auxerre, France|Bordeaux, France|Brest, France|Caen, France|Carpentras, France|Chateaubriand, France|Colmar, France|Créteil, France|Gap, France|Gonesse, France|La Rochelle, France|Laval, France|Limoges, France|Marseille, France|Montluçon, France|Nice, France|Nîmes, France|Paris, France|Perpignan, France|Poitiers, France|Pringy, France|Rennes, France|Rouen, France|Saint Aubin Sur Cie, France|Saint Julien En Gengvois, France|Saint-Malo, France|St Brieuc, France|Toulouse, France|Vienne, France|Villeurbanne, France"
NCT00072813,MRI in Autosomal Dominant Partial Epilepsy With Auditory Features,https://clinicaltrials.gov/study/NCT00072813,NO,"Epilepsies, Partial",,ALL,"ADULT, OLDER_ADULT",,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States|Columbia University, New York, New York, 10032-3784, United States"
