Disease,NCT Number,Study Title,Study URL,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sex,Age,Phases,Locations,Principal_Investigators
Myasthenia Gravis,NCT05564936,The ME&MG Digital Solution for Autonomous Assessment of Myasthenia Gravis,https://clinicaltrials.gov/study/NCT05564936,Myasthenia Gravis,DEVICE: ME&MG mobile application,"To demonstrate that ME&MG tests results performed at-home, under unsupervised condition, are correlated to standard tests results performed in-clinic, under supervised conditions, Pearson correlation coefficient will be used to assess the relationship between digital tests versus standard tests, baseline","To compare results between in-clinic digital tests and in-clinic standard tests, test to test, pearson correlation coefficient between digital tests and standard tests, baseline|To assess reproducibility between in-clinic digital tests and at-home digital tests, intraclass correlation coefficient, baseline, day 1, day 89, day 90|To assess test-retest reliability of at-home digital tests, intraclass correlation coefficient mean k raters (ICCk; k=day), Day1, Day 2, Day 3, Day 87, Day 88, Day 89|To compare results obtained with the at-home ME&MG composite score and the in-clinic standard QMG composite score, Pearson correlation coefficient between digital composite score and QMG score, baseline, day 1|To assess adverse events related to the use of the mobile application, Descriptive analysis of adverse events (AEs) related to the use of the application, through study completion, an average of 1 year|To assess satisfaction and user experience with the smartphone application, descriptive analysis of questionnaires resulsts, through study completion, an average of 1 year|To assess correlation of the at-home ME&MG composite score with the Myasthenia Gravis Activities of Daily Living (MG-ADL) score, Pearson's correlation coefficient between ME\&MG composite score and MG-ADL scores, baseline, day 90, day 365|to assess daily activites, Myasthenia Gravis Activities of Daily Living (MG-ADL), 12 months|to assess depression, Patient Health Questionnaire-8 (PHQ8), 12 months|to assess pain, pain likert scale, 12 months|to assess insomnia, Insomnia Severity Index, 12 months|To assess at-home compliance to the ME&MG smartphone application, descriptive analysis of adherence data, through study completion, an average of 1 year|To assess quality of life, 36-Item Short Form Survey (SF-36), Baseline, day 90, Day 365",,ALL,ADULT,NA,"University of Florida Health, Jacksonville, Florida, 32209, United States|Indiana University Health, Indianapolis, Indiana, 46123, United States|University of Kentucky, Lexington, Kentucky, 40536, United States|Neurological Associates of Long Island, P.C., Lake Success, New York, 11042, United States|HÃ´pital Raymond PoincarÃ©, Garches, 92380, France|CHRU Nancy, Nancy, 54035, France|CHU de Strasbourg - HÃ´pital de Hautepierre, Strasbourg, 67200, France",Ad scientiam
Myasthenia Gravis,NCT05095103,Immune Profiles in Myasthenia Gravis,https://clinicaltrials.gov/study/NCT05095103,Myasthenia Gravis,,"Primary outcome work stream 1, Difference in CD19 count between cohorts, Baseline|Primary outcome work stream 2, â— CD27 frequency (% of peripheral blood mononuclear cells) at clinical exacerbation of MG compared to when that patient was clinically stable., Relapse within 18 months of recrutiment|Primary outcome work stream 3, â— CD27+ frequency (% of peripheral blood mononuclear cells) in MG patients who are symptomatic compared to those who are asymptomatic 12 months following B cell depletion., 12 months after B cell depletion","MG Composite Score, Baseline, at any clinical relapse within 18 months, 3,6 months after relapse in stable groups or 4 weeks, 6 and 12 months post rituximab in refractory groups,|MGFA - Post Intervention status, Baseline, at any clinical relapse within 18 months, 3,6 months after relapse in stable groups or 4 weeks, 6 and 12 months post rituximab in refractory groups|MG QOL-15r, Baseline, at any clinical relapse within 18 months, 3,6 months after relapse in stable groups or 4 weeks, 6 and 12 months post rituximab in refractory groups|Acetylcholine receptor antibody titre, Baseline, at any clinical relapse within 18 months, 3,6 months after relapse in stable groups or 4 weeks, 6 and 12 months post rituximab in refractory groups|Lymphocyte Count, Baseline, at any clinical relapse within 18 months, 3,6 months after relapse in stable groups or 4 weeks, 6 and 12 months post rituximab in refractory groups|Number of relapses requiring hospital admission or rescue therapy, Baseline, at any clinical relapse within 18 months, 3,6 months after relapse in stable groups or 4 weeks, 6 and 12 months post rituximab in refractory groups|Average daily dose of prednisolone over the three months prior to review, Baseline, at any clinical relapse within 18 months, 3,6 months after relapse in stable groups or 4 weeks, 6 and 12 months post rituximab in refractory groups",,ALL,"ADULT, OLDER_ADULT",,,"Principal Investigator : Katherine Dodd, MBChB MRCP , University of Manchester"
Myasthenia Gravis,NCT06158815,Investigation of the Effects of Proprioceptive Neuromuscular Facilitation Exercises in Patients With Myasthenia Gravis,https://clinicaltrials.gov/study/NCT06158815,Myasthenia Gravis,OTHER: proprioceptive neuromuscular facilitation exercise,"chalder fatigue scale, It is an easy, fast and useful scale that evaluates fatigue through self-report. The final version of the scale consists of a total of 11 items, including a 7-item physical fatigue subsection and a 4-item mental fatigue subsection. The individual is asked to respond to the statements using a four-point Likert scale (less than usual, as much as usual, more than usual, much more than usual). Each item is scored between 0-3 and the total score varies between 0-33., baseline and immediately after the intervention|Fatigue Impact Scale, It is a multidimensional scale that evaluates the physical, cognitive and social effects of fatigue. The scale consists of a total of 40 questions: 10 questions for the physical effects subscale, 10 questions for the cognitive effects subscale, and 20 questions for the social effects subscale. Individuals fill out the scale by taking their last month into consideration. All questions are scored from ""0"" (no problem) to ""4"" (very big problem). Higher scores indicate increased degree of fatigue., baseline and immediately after the intervention|fatigue severity scale, It is a self-report scale consisting of 9 items that evaluates the degree of fatigue severity in the last week. For each item, the patient marks the most appropriate statement on a 7-point Likert scale ranging from 7=strongly agree to 1=strongly disagree. The scores obtained from each item are added up and the total value is divided by 9., baseline and immediately after the intervention|Surface electromyography, Surface electromyography measurements will be performed to measure the electrical signals coming from the muscles to determine the fatigue of the muscles. It has been shown in the literature that fatigue can be measured by power spectrum analysis in neuromuscular diseases. For this purpose, surface electromyography electrodes will be placed on the vastus lateralis muscle and the middle part of the deltoideus muscle and the participants will be asked to make maximum isometric contraction for 30 seconds. Electromyography signals will be analyzed and median frequencies between 0-5 seconds and 25-30 seconds will be determined and recorded. Wireless surface electromyography sensors and portable data acquisition system will be used to record and store measurements (Delsys (Delsys Inc. Natick, Massachusetts, USA))., baseline and immediately after the intervention|Six Minute Walk Test, It will be applied to evaluate functional capacity in accordance with the guidelines of the American Thoracic Society. In this test, the participant is walked down a 30-meter straight corridor. Participants are asked to walk for 6 minutes at the maximum speed they can walk during the test. The total distance walked is recorded. The distance walked per minute will also be recorded during this test. From these data, physical fatigue will be calculated according to the fatigue ambulatory index formula., baseline and immediately after the intervention","muscle strength, The upper extremity, lower extremity and neck muscles of the participants will be evaluated using a digital hand dynamometer (Lafayette Manual Muscle Tester Model 01165, Lafayette Instrument Company, Lafayette, IN, USA). Muscle strength measurements will be evaluated by applying a breaking test to measure maximum muscle strength, with a digital hand dynamometer placed between the patient's evaluating area and the physiotherapist's hand, depending on the principles and positions of manual muscle testing. In the upper extremities; shoulder flexors, shoulder extensors, shoulder abductors, elbow flexors and extensors, in the lower extremities; hip flexors, hip extensors, hip abductors, knee flexors and extensors will be evaluated. In the cervical region, both flexor and extensor muscle groups will be evaluated and recorded. Three measurements will be made for all muscles and the average value will be recorded., baseline and immediately after the intervention|functional capacity, Two timed performance tests will be used: the 30-second sit-to-stand test and the stair-climbing test. In the 30-second sit-to-stand test, the participant is asked to sit on a standard chair for 30 seconds. The participant is asked to sit and stand as many times as possible throughout the session. The number of repetitions performed within a 30-second period will be recorded. In the stair climbing test, the participant will be asked to climb 10 standard steps as quickly as possible. The time it takes to climb 10 steps will be recorded in seconds. Both methods are used to determine functional capacity in patients with Myasthenia Gravis., baseline and immediately after the intervention|Myasthenia Gravis-Activities of Daily Living Scale, It is a self-report scale consisting of eight items. It is designed to evaluate the functional performance of daily living activities impaired due to Myasthenia Gravis. Two of the items in the scale consist of ocular, three bulbar, one respiratory, and two extremity-related activities. Each item is rated from 0 to 3, and the total score range is 0 to 24. High scores indicate low independence., baseline and immediately after the intervention|Myasthenia Gravis Quality of Life Scale, It is a self-report scale consisting of fifteen items. It is designed to evaluate the change in quality of life due to Myasthenia Gravis. Items in the scale are scored between 0 and 4, and the total score range is 0-60. The higher the score, the worse the patient's perceived quality of life., baseline and immediately after the intervention|Myasthenia Gravis Composite Scale, It is a scale developed to determine disease severity, applied and scored by healthcare professionals. Myasthenia Gravis Composite Scale scoring is created by combining parts of three scales. Ocular evaluation was obtained from the Quantitative Myasthenia Gravis Scale, bulbar and neck flexion evaluations were obtained from the Myasthenia Gravis Activity of Daily Living Scale, and muscle strength tests were obtained from the Manual Muscle Test scale. Total score varies between 0-50. Higher scores indicate increased disease severity., baseline and immediately after the intervention|visual analog scale, How well patients can tolerate Proprioceptive Neuromuscular Facilitation Exercises and their satisfaction with the treatment will be evaluated with 4 visual analog scales. Visual Analogue Scale consists of a 100 mm line. At each end of the line, there are two opposing statements about the situation to be evaluated. The participant is asked to mark the point on the visual analog scale line that best reflects his or her feelings. The point marked by the participant is measured in cm or mm from the end point with the help of a ruler., immediately after the intervention",,ALL,"ADULT, OLDER_ADULT",NA,"Hacettepe University Faculty of Physical Therapy and Rehabilitation, Ankara, AltÄ±ndag, 06230, Turkey","Principal Investigator : sevim erdem Ã¶zdamar, Professor , Hacettepe University Study Chair : yeliz salcÄ±, Assoc. Prof. , Hacettepe University Study Chair : rÄ±dvan m adÄ±n, M.Sc. , Hacettepe University Study Chair : ali n ceren, M.Sc. , Hacettepe University Study Chair : ayla fil balkan, Assoc. Prof. , Hacettepe University"
Myasthenia Gravis,NCT04158661,Influence of Minimally Invasive Thymectomy on the Subsequent Clinical Course of Myasthenia Gravis,https://clinicaltrials.gov/study/NCT04158661,Myasthenia Gravis,"PROCEDURE: thymectomy (robotic-assisted thoracoscopic, minimally-invasive thymectomy)|PROCEDURE: thymectomy by means of median sternotomy (transsternal)|PROCEDURE: no thymectomy (control)","Mean daily prednisone dose, three years after thymectomy",,,ALL,"ADULT, OLDER_ADULT",,"Department of Surgery CharitÃ© University, Berlin-Mitte, Germany|NeuroCure Clinical Research Center (NCRC), CharitÃ© University, Berlin, Berlin-Mitte, Germany|Sana Klinikum Lichtenberg, Berlin, Germany","Principal Investigator : Andreas Meisel, Prof. Dr. med. , CharitÃ© University, Berlin, Germany"
Myasthenia Gravis,NCT05828225,Evaluate the Safety and Efficacy of CAR-T Cells in the Treatment of Refractory Myasthenia Gravis,https://clinicaltrials.gov/study/NCT05828225,Myasthenia Gravis,DRUG: CD19 CAR-T cells injection,"Dose-limiting toxicity (DLT), Adverse events assessed according to NCI-CTCAE v5.0 criteria, Baseline up to 28 days after CD19 CAR T-cells infusion|Incidence of treatment-emergent adverse events (TEAEs), Incidence of treatment-emergent adverse events \[Safety and Tolerability\], Up to 90 days after CD19 CAR T-cells infusion|Maximum tolerable dose, Maximum tolerable dose, From date of initial treatment to Day 28 post CD19 CAR-T infusion.","Changes in serum AchR antibody titer, Changes in serum AchR antibody titer, days 7, 14, 21, 28 and 90|MG-activities of daily living profile (MG-ADL), MG-ADL Myasthenia Gravis Daily Activity Scale, Baseline up to 28 days after CD19 CAR T-cells infusion|MG-activities of daily living profile (QMG), Quantitative Score for Myasthenia Gravis, Baseline up to 28 days after CD19 CAR T-cells infusion|Myasthenia Gravis Composite Scale (MGC), Myasthenia Gravis Composite Scale, Baseline up to 28 days after CD19 CAR T-cells infusion|MG-QOL15 scale, MG-QOL15 Quality of Life Scale for Myasthenia Gravis (15 items), Baseline up to 28 days after CD19 CAR T-cells infusion",,ALL,"ADULT, OLDER_ADULT",PHASE1,"The first affiliated hospital of medical college of zhejiang university, Hangzhou, Zhejiang, 310000, China","Principal Investigator : He Huang, MD , Zhejiang University"
Myasthenia Gravis,NCT03052751,"Study to Test the Safety, Tolerability and Efficacy of UCB7665 in Subjects With Moderate to Severe Myasthenia Gravis",https://clinicaltrials.gov/study/NCT03052751,Myasthenia Gravis,DRUG: UCB7665|OTHER: Placebo,"Change From Baseline in Quantitative Myasthenia Gravis (QMG) Score to Visit 9, The total QMG score was obtained by summing the responses to each individual item (13 items; Responses: None=0, Mild=1, Moderate=2, Severe=3). The score ranges from 0 to 39, with lower scores indicating lower disease activity. The change from Baseline is calculated, a negative value indicating improvement and a positive value worsening., From Baseline to Visit 9 (up to Day 29)","Change From Baseline in Myasthenia Gravis-Composite Score to Visit 9, The total Myasthenia Gravis (MG)-composite score was obtained by summing the responses to each individual item (10 items; Grade: 0-9 depending on item). The score ranges from 0 to 50, with lower scores indicating lower disease activity. The change from Baseline is calculated, a negative value indicating improvement and a positive value worsening., From Baseline to Visit 9 (up to Day 29)|Change From Baseline in Myasthenia Gravis-Activities of Daily Living (MGADL) Score to Visit 9, The total MGDAL score was obtained by summing the responses to each individual item (8 items; Grades: 0, 1, 2, 3). The score ranges from 0 to 24, with lower scores indicating lower disease activity. The change from Baseline is calculated, a negative value indicating improvement and a positive value worsening., From Baseline to Visit 9 (up to Day 29)",,ALL,"ADULT, OLDER_ADULT",PHASE2,"Mg0002 712, Los Angeles, California, 90033, United States|Mg0002 701, Orange, California, 92868, United States|Mg0002 713, Miami, Florida, 33136, United States|Mg0002 708, Tampa, Florida, 33612, United States|Mg0002 707, Augusta, Georgia, 30912, United States|Mg0002 704, Columbus, Ohio, 43210, United States|Mg0002 102, Bruxelles, Belgium|Mg0002 103, Gent, Belgium|Mg0002 101, Leuven, Belgium|Mg0002 203, London, Canada|Mg0002 202, MontrÃ©al, Canada|Mg0002 201, Toronto, Canada|Mg0002 302, Ostrava-Poruba, Czechia|Mg0002 401, Aarhus, Denmark|Mg0002 402, Copenhagen, Denmark|Mg0002 505, DÃ¼sseldorf, Germany|Mg0002 502, Gummersbach, Germany|Mg0002 501, Jena, Germany|Mg0002 601, Barcelona, Spain|Mg0002 602, Barcelona, Spain","Study Director : UCB Cares , +1 877 822 9493 (UCB)"
Myasthenia Gravis,NCT02110706,BeatMG: Phase II Trial of Rituximab In Myasthenia Gravis,https://clinicaltrials.gov/study/NCT02110706,Myasthenia Gravis,DRUG: Rituximab|DRUG: Placebo,"Steroid Sparing Effect, Percent of subjects that achieve a â‰¥ 75% reduction in mean daily prednisone dose in the 4 weeks prior to week 52 and have clinical improvement or no significant worsening of symptoms (â‰¤ 2 point increase in MGC score) as compared to 4-week period prior to randomization and initiation of treatment., 4 weeks prior baseline and 4 weeks prior to week 52|Safety:Percentage of Study Participants With Treatment-related Adverse Experiences, Evaluate treatment-Related Adverse Events (AEs) and Serious Adverse Events (SAEs), 52 weeks","Change in Myasthenia Gravis Composite (MGC) Scores From Baseline to Week 52, Evaluate whether there is a trend towards clinical benefit at end of 52 week treatment period, as measured by mean change in the MGC score, an MG-specific clinical outcomes scale used as endpoint in prior MG clinical trials. The Myasthenia Gravis Composite (MGC) scale consists of test items from the MG-ADL (Myasthenia Gravis Activities of Daily Living) scale and the QMG (Quantitative Myasthenia Gravis Scale) that measure symptoms and signs of MG, with weighted response options. The minimum score is 0, and the maximum score is 50. Higher scores correlate with clinical worsening of the disease., baseline and 52 weeks|Change in Quantitative Myasthenia Gravis(QMG) Scores From Baseline to Week 52, Evaluate whether there is a trend towards clinical benefit at end of 52 week treatment period, as measured by the mean change in the QMG score - a specific clinical outcome scale used as endpoint in prior MG clinical trials. The Quantitative Myasthenia Gravis Score (QMG) is a commonly used objective outcome measure in myasthenia gravis (MG) comprising 13 items, each with a possible score from 0 to 3, and a maximum possible of 39 points, where a higher score indicates more severe disease., baseline and 52 weeks",,ALL,"ADULT, OLDER_ADULT",PHASE2,"University of Alabama at Birmingham, Birmingham, Alabama, 35233, United States|University of California - Davis, Davis, California, 95616, United States|University of California - Los Angeles, Los Angeles, California, 90095, United States|University of Colorado - Denver, Denver, Colorado, 80217, United States|Yale School of Medicine, Department of Neurology, New Haven, Connecticut, 06510, United States|University of Miami School of Medicine, Miami, Florida, 33136, United States|Emory University, Atlanta, Georgia, 30322, United States|Northwestern University, Evanston, Illinois, 60208, United States|University of Kansas Medical Center, Kansas City, Kansas, 66160, United States|Brigham & Women's Hospital, Boston, Massachusetts, 02115, United States|Washington University, Saint Louis, Missouri, 63130, United States|Montefiore Medical Center, Bronx, New York, 10461, United States|SUNY Downstate Medical Center, Brooklyn, New York, 11203, United States|SUNY Buffalo, Buffalo, New York, 14260, United States|Columbia University Medical Center, New York, New York, 10032, United States|Weill Cornell Medical Center, New York, New York, 10065, United States|University of Rochester, Rochester, New York, 14627, United States|SUNY Stony Brook, Stony Brook, New York, 11790, United States|University of Cincinnati, Cincinnati, Ohio, 45220, United States|Ohio State University, Columbus, Ohio, 43210, United States|Oregon Health and Science University, Portland, Oregon, 97239, United States|University of Pittsburgh, Pittsburgh, Pennsylvania, 15260, United States|University of Texas Southwestern Medical Center, Dallas, Texas, 75235, United States|University of Utah, Salt Lake City, Utah, 84112, United States|University of Virginia, Charlottesville, Virginia, 22904, United States|Swedish Medical Center, Seattle, Washington, 98107, United States","Principal Investigator : Richard J Nowak, MD, MS , Yale University"
Myasthenia Gravis,NCT06064461,Vitaccess Real MG Registry,https://clinicaltrials.gov/study/NCT06064461,Myasthenia Gravis,,"The Vitaccess Real MG Registry, A patient registry designed to capture longitudinal observational data on myasthenia gravis (MG), its treatment, and impact on symptoms, daily activities, and quality of life., 10 years","Describe the demographic characteristics of patients, EMR data reported by HCPs or captured via EMR aggregators (""Registration Form""), At baseline|Describe change in clinical trial participation of patients, EMR data reported by HCPs or captured via EMR aggregators (""Clinical Trial Participation Form""), At follow-up visits (every 6Â±1 months) for up to 10 years|Describe the diagnosis (date, tests, and symptoms) of patients, EMR data reported by HCPs or captured via EMR aggregators (""Diagnosis Information Form""), At baseline|Describe change in clinical characteristics of patients., EMR data reported by HCPs or captured via EMR aggregators (""Clinical Characteristics Form""), At baseline visit and at follow-up visits (every 6Â±1 months) for up to 10 years|Describe change in medical history of patients, EMR data reported by HCPs or captured via EMR aggregators (""Medical History Form""), At baseline visit and at follow-up visits (every 6Â±1 months) for up to 10 years|Describe change in concomitant treatments received by patients, EMR data reported by HCPs or captured via EMR aggregators (""Concomitant Medication Log""), At baseline visit and at follow-up visits (every 6Â±1 months) for up to 10 years|Describe change in routine MG treatments received by patients, EMR data reported by HCPs or captured via EMR aggregators (""Routine MG Treatments Log""), At baseline visit and at follow-up visits (every 6Â±1 months) for up to 10 years|Describe change in rescue MG treatments received by patients, EMR data reported by HCPs or captured via EMR aggregators (""Rescue MG Treatments Log""), At baseline visit and at follow-up visits (every 6Â±1 months) for up to 10 years|Describe change in severity of MG symptoms experienced by patients, Myasthenia Gravis Activities of Daily Living (MG-ADL) data reported by HCPs or captured via EMR aggregators (""MG-ADL""), At baseline visit and at follow-up visits (every 6Â±1 months) for up to 10 years|Describe change in healthcare resource use of patients, EMR data reported by HCPs or captured via EMR aggregators (""Healthcare Resource Use""), At baseline visit and at follow-up visits (every 6Â±1 months) for up to 10 years|Describe change in type and severity of adverse events experienced by patients, EMR data reported by HCPs or captured via EMR aggregators (""Adverse Events""), At follow-up visits (every 6Â±1 months) for up to 10 years|Describe change in severity of MG symptoms experienced by patients, Myasthenia Gravis Activities of Daily Living (MG-ADL) data reported by patients via the Vitaccess Real MG Registry platform (""MG-ADL""), At baseline and every 1 month thereafter for up to 10 years.|Describe change in type and severity of fatigue experienced by patients, MG Symptoms PRO Fatigue Component data reported by patients via the Vitaccess Real MG Registry platform (""MG Symptoms PRO Fatigue Component""), At baseline and every 2 months thereafter for up to 10 years.|Describe change in type and severity of fatigue experienced by patients, NeuroQoL Fatigue Short Form data reported by patients via the Vitaccess Real MG Registry platform (""NeuroQoL Fatigue Short Form""), At baseline and every 2 months thereafter for up to 10 years.|Describe change in impact of MG on health-related quality of life of patients, Myasthenia Gravis Quality of Life 15-item revised scale (MG-QoL-15r) data reported by patients via the Vitaccess Real MG Registry platform (""MG-QoL-15r""), At baseline and every 2 months thereafter for up to 10 years.",,ALL,"ADULT, OLDER_ADULT",,"Vitaccess Ltd, Oxford, Oxfordshire, OX4 4GA, United Kingdom","Principal Investigator : Mark JW Larkin, PhD , Vitaccess Ltd"
Myasthenia Gravis,NCT03759366,A Phase 3 Open-Label Study of Eculizumab in Pediatric Participants With Refractory Generalized Myasthenia Gravis (gMG),https://clinicaltrials.gov/study/NCT03759366,"Myasthenia Gravis|Myasthenia Gravis, Juvenile Form|Myasthenia Gravis, Generalized",DRUG: Eculizumab,"Change From Baseline in the QMG Total Score at Week 26 Regardless of Rescue Treatment, The QMG scoring system consists of 13 items: ocular (2 items), facial (1 item), bulbar (2 items), gross motor (6 items), axial (1 item), and respiratory (1 item). Each item is graded from 0 to 3, (0 = none, 1 = mild, 2 = moderate, and 3 = severe). The range of total QMG score is 0 to 39, with higher score indicating more severe disease., Baseline, Week 26","Change From Baseline in the Myasthenia Gravis Activities of Daily Living (MG-ADL) Total Score at Week 26 Regardless of Rescue Treatment, The MG-ADL is an 8-point questionnaire that focuses on relevant symptoms and functional performance of activities of daily living in participants with myasthenia gravis (MG). The 8 items of the MG-ADL are derived from symptom-based components of the original 13-item QMG to assess disability secondary to ocular (2 items), bulbar (3 items), respiratory (1 item), and gross motor or limb (2 items) impairment related to effects from MG. In this functional status instrument, each response is graded from 0 (normal) to 3 (most severe). The range of total MG-ADL score is 0 to 24, with higher score indicating more severe disease., Baseline, Week 26|Percentage of Participants With â‰¥3-Point Reduction in the MG-ADL Total Score With No Rescue Treatment, The MG-ADL is an 8-point questionnaire that focuses on relevant symptoms and functional performance of activities of daily living in participants with MG. The 8 items of the MG-ADL are derived from symptom-based components of the original 13-item QMG to assess disability secondary to ocular (2 items), bulbar (3 items), respiratory (1 item), and gross motor or limb (2 items) impairment related to effects from MG. In this functional status instrument, each response is graded from 0 (normal) to 3 (most severe). The range of total MG-ADL score is 0 to 24, with higher score indicating more severe disease., Week 26|Percentage of Participants With â‰¥3-Point Reduction in the MG-ADL Total Score Regardless of Rescue Treatment, The MG-ADL is an 8-point questionnaire that focuses on relevant symptoms and functional performance of activities of daily living in participants with MG. The 8 items of the MG-ADL are derived from symptom-based components of the original 13-item QMG to assess disability secondary to ocular (2 items), bulbar (3 items), respiratory (1 item), and gross motor or limb (2 items) impairment related to effects from MG. In this functional status instrument, each response is graded from 0 (normal) to 3 (most severe). The range of total MG-ADL score is 0 to 24, with higher score indicating more severe disease., Week 26|Percentage of Participants With â‰¥5-Point Reduction in the QMG Total Score With No Rescue Treatment, The QMG scoring system consists of 13 items: ocular (2 items), facial (1 item), bulbar (2 items), gross motor (6 items), axial (1 item), and respiratory (1 item). Each item is graded from 0 to 3, (0 = none, 1 = mild, 2 = moderate, and 3 = severe). The range of total QMG score is 0 to 39, with higher score indicating more severe disease., Week 26|Percentage of Participants With â‰¥5-Point Reduction in the QMG Total Score Regardless of Rescue Treatment, The QMG scoring system consists of 13 items: ocular (2 items), facial (1 item), bulbar (2 items), gross motor (6 items), axial (1 item), and respiratory (1 item). Each item is graded from 0 to 3, (0 = none, 1 = mild, 2 = moderate, and 3 = severe). The range of total QMG score is 0 to 39, with higher score indicating more severe disease., Week 26|Change From Baseline in the Myasthenia Gravis Composite (MGC) Scale Total Score at Week 26 Regardless of Rescue Treatment, The MGC is a validated assessment tool for measuring clinical status of participants with MG. The MGC assesses 10 important functional areas most frequently affected by MG: ocular (2 items), facial (1 item), bulbar (3 items), respiratory (1 item), axial (1 item), and gross motor (2 items). The scales are weighted for clinical significance that incorporates patient-reported outcomes. The MGC total score ranges from 0 to 50, with lower scores indicating less functional impairment and higher scores indicating greater functional impairment., Baseline, Week 26|Change From Baseline in the European Quality of Life 5-Dimension Youth Version (EQ-5D-Y) Scale Score at Week 26 Regardless of Rescue Treatment, The EQ-5D-Y is a reliable and validated survey of health status in 5 areas: mobility, self-care, usual activities, pain/discomfort, and anxiety/depression, each of which is completed by the participant for participants â‰¥12 years of age (at time of assessment) and completed by the participant's caregiver or with caregiver assistance for participant \<12 years of age. Each area has 3 levels: Level 1 (no problems), Level 2 (some problems), and Level 3 (extreme problems). The EQ visual analogue scale (VAS) records the participant's self-rated health on a vertical, 20 cm VAS where the endpoints are labelled 'Best imaginable health state, marked as 100' and 'Worst imaginable health state, marked as 0'., Baseline, Week 26|Change From Baseline in the Neurological Quality of Life-Fatigue Questionnaire (Neuro-QoL Pediatric Fatigue) Total Score at Week 26 Regardless of Rescue Treatment, The Neuro-QoL Pediatric Fatigue questionnaire is a reliable and validated brief 11-item survey of fatigue, completed by the participant for participants â‰¥12 years of age (at time of assessment) and completed by the participant's caregiver or with caregiver assistance for participants \<12 years of age. Each item was scored on a scale of 1 to 5 (1=Not at all, 2=A little bit, 3=Somewhat, 4=Quite a bit, 5=Very much). Total score is the sum of each item's score and it ranges from 11 to 55. Higher scores indicate greater fatigue and greater impact of MG on activities., Baseline, Week 26|Number of Participants in Each Category of the Myasthenia Gravis Foundation of America Post-Intervention Status (MGFAPIS) Regardless of Rescue Treatment at Week 26, The MG clinical state (improved, unchanged, and worse) was assessed using the MGFAPIS., Week 26|Percentage of Participants With Clinical Deteriorations, Myasthenic Crises, and Rescue Therapy Use, Rescue therapy (for example, high dose corticosteroid, plasma exchange \[PE\], or intravenous immunoglobulin \[IVIg\]) was to be allowed when a participant experienced clinical deterioration. Clinical deterioration was defined as follows: Participants who experienced an MG crisis, which was defined as weakness due to MG that was severe enough to necessitate intubation or to delay extubation following surgery; or, Significant symptomatic worsening that required rescue medication in the opinion of the Investigator; or, Participants for whom the Investigator believed that the participants' health was in jeopardy if rescue therapy was not given., Baseline up to Week 26|Pharmacokinetics (PK): Serum Concentration Of Eculizumab, 24 hours postdose on Day 1; predose and 60 minutes postdose at Week 12; predose at Week 26|Pharmacodynamics (PD): Serum Free Complement Component 5 (C5) Concentrations, Baseline; 24 hours postdose on Day 1; predose and 60 minutes postdose at Week 12; predose at Week 26|PD: Percentage of Hemolysis (In Vitro Assay), Baseline; 24 hours postdose on Day 1; predose and 60 minutes postdose at Week 12; predose at Week 26",,ALL,CHILD,PHASE3,"Clinical Trial Site, Los Angeles, California, 90027, United States|Clinical Trial Site, Tampa, Florida, 33612, United States|Clinical Trial Site, Chicago, Illinois, 60611, United States|Clinical Trial Site, Columbia, Missouri, 65211, United States|Clinical Trial Site, Saint Louis, Missouri, 63104, United States|Clinical Trial Site, Chapel Hill, North Carolina, 27599-1651, United States|Clinical Trial Site, Akron, Ohio, 44308, United States|Clinical Trial Site, Philadelphia, Pennsylvania, 19104, United States|Clinical Trial Site, Charleston, South Carolina, 29425-8572, United States|Clinical Trial Site, Chiba-shi, Chiba-Ken, 260-8677, Japan|Clinical Trial Site, Saitama, Iruma-gun, 350-0495, Japan|Clinical Trial Site, Tokyo, Itabasha-ku, 173-0003, Japan|Clinical Trial Site, Tokyo, Shinjuku-ku, 162-8666, Japan|Clinical Trial Site, Mibu, Tochigi, 3210293, Japan|Clinical Trial Site, Amsterdam, 1105, Netherlands|Clinical Trial Site, Leiden, 2333, Netherlands",
Myasthenia Gravis,NCT05694234,Influences of Sugammadex on Postoperative Progress in Patients With Myasthenia Gravis Undergoing Video-assisted Thoracoscopic Thymectomy: Retrospective Study,https://clinicaltrials.gov/study/NCT05694234,Myasthenia Gravis,,"hospital stay, length of postoperative hospital stay (day), up to 1 year","incidence of postoperative mortality, up to 1 year|postoperative complication incidence, up to 1 year|postoperative extubation rate in the OR, up to 1 year|postoperative reintubation rate in the OR, up to 1 year",,ALL,"ADULT, OLDER_ADULT",,"Yonsei University Health System, Severance Hospital, Seoul, Korea, Republic of","Principal Investigator : Na Young Kim , Department of Anesthesiology and Pain Medicine and Anesthesia and Pain Research Institute, Yonsei University College of Medicine"
Myasthenia Gravis,NCT03792659,The EXPLORE MG Registry for Myasthenia Gravis,https://clinicaltrials.gov/study/NCT03792659,Myasthenia Gravis,OTHER: Blood Sample Draw,"The number of successful blood draws will be reported at the conclusion of the sample collection, Successful Collection of Blood, 8 years","The number of stool samples collected will be reported at the conclusion of the sample, Count of Stool Samples, 8 years",,ALL,"ADULT, OLDER_ADULT",,"Yale-New Haven Hospital, New Haven, Connecticut, 06510, United States","Principal Investigator : Richard Nowak, MD, MS , Assistant Professor, Yale University"
