NCT Number,Study Title,Study URL,Study Results,Conditions,Interventions,Sex,Age,Phases,Locations
NCT06163326,A 52-Week Study to Learn About the Safety and Effects of Ritlecitinib in Participants With Nonsegmental Vitiligo,https://clinicaltrials.gov/study/NCT06163326,NO,Vitiligo,DRUG: Ritlecitinib|DRUG: Ritlecitinib 100 mg|DRUG: Placebo,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,"California Dermatology & Clinical Research Institute, Encinitas, California, 92024, United States|Marvel Clinical Research, Huntington Beach, California, 92647, United States|Wallace Medical Group, Inc, Los Angeles, California, 90056, United States|Encore Medical Research of Boynton Beach, Boynton Beach, Florida, 33436, United States|Skin Care Research, Hollywood, Florida, 33021, United States|ForCare Clinical Research, Tampa, Florida, 33613, United States|Dawes Fretzin Clinical Research Group, LLC, Indianapolis, Indiana, 46250, United States|DelRicht Research, Baton Rouge, Louisiana, 70809, United States|Visage Dermatology and Aesthetic Center, Largo, Maryland, 20774, United States|Accellacare - Wilmington, Wilmington, North Carolina, 28411, United States|Wilmington Health, PLLC, Wilmington, North Carolina, 28411, United States|Remington Davis Clinical Research, Columbus, Ohio, 43215, United States|Remington-Davis, Inc, Columbus, Ohio, 43215, United States|Austin Institute for Clinical Research, Houston, Texas, 77056, United States|CARe Clinic, Red Deer, Alberta, T4P 1K4, Canada|Lynderm Research Inc., Markham, Ontario, L3P 1X3, Canada|DermEdge Research, Mississauga, Ontario, L4Y 4C5, Canada|North York Research Inc, Toronto, Ontario, M2N3A6, Canada|Centre de Recherche Dermatologique du Quebec metropolitain, Quebec, G1V 4X7, Canada|Centre de Recherche Saint-Louis, Quebec, G1W 4R4, Canada|Huashan Hospital Fudan University, Shanghai, Shanghai, 200040, China|Fachklinik Bad Bentheim, Bad Bentheim, Niedersachsen, 48455, Germany|Tohoku University Hospital, Sendai-shi, Miyagi, 980-8574, Japan|Dermatology and Ophthalmology Kume Clinic, Sakai City, Osaka, 593-8324, Japan|Nippon Medical School Hospital, Bunkyo-ku, Tokyo, 113-8603, Japan|Tokyo Medical University Hospital, Shinjuku-ku, Tokyo, 160-0023, Japan|Yamanashi Prefectural Central Hospital, Kofu, Yamanashi, 400-8506, Japan|Nippon Medical School Hospital, Tokyo, 113-8603, Japan|Ajou University Hospital, Suwon, Kyǒnggi-do, 16499, Korea, Republic of|Severance Hospital, Yonsei University Health System, Seoul, Seoul-teukbyeolsi [seoul], 03722, Korea, Republic of|DermoDent Centrum Medyczne Aldona Czajkowska Rafał Czajkowski s.c., Osielsko, Kujawsko-pomorskie, 86-031, Poland|Royalderm Agnieszka Nawrocka, Warszawa, Mazowieckie, 02-962, Poland|Twoja Przychodnia SCM, Szczecin, Zachodniopomorskie, 71-500, Poland|Dermedic Jacek Zdybski, Ostrowiec Swietokrzyski, Świętokrzyskie, 27-400, Poland"
NCT06097494,Investigating Healthcare Disparities in Vitiligo,https://clinicaltrials.gov/study/NCT06097494,NO,Vitiligo,OTHER: No intervention,ALL,"CHILD, ADULT, OLDER_ADULT",,"Momentum Data Limited, London, United Kingdom"
NCT05577637,Comparitive Study Between Uvb Alone and Uvb With Topical Tacrolimus 0.03% for the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT05577637,NO,Vitiligo,DRUG: 0.03% tacrolimus twice daily was applied on group A patients with uvb phototherapy thrice daily,ALL,ADULT,PHASE1,"cmh Abbottabad, Abbottabad, Khyber Pakhtunkhwa, 22020, Pakistan"
NCT05991596,Vitiligo and Psychodrama Therapy,https://clinicaltrials.gov/study/NCT05991596,NO,Vitiligo,BEHAVIORAL: Psychodramatic psychotherapy|BEHAVIORAL: Self-help activities,ALL,ADULT,NA,"APSS Trento, Trento, Italy"
NCT06394349,Platelet-rich Plasma Intradermal Injection Combined With 308 nm Excimer Light for Treating Stable Acral Vitiligo,https://clinicaltrials.gov/study/NCT06394349,NO,Vitiligo,COMBINATION_PRODUCT: PRP+308nm|COMBINATION_PRODUCT: NS+308nm,ALL,"ADULT, OLDER_ADULT",NA,"Huashan Hospital, Shanghai, Shanghai, 200040, China"
NCT06118411,A Study To Assess Adverse Events and Effectiveness of Upadacitinib Oral Tablets in Adult and Adolescent Participants With Vitiligo,https://clinicaltrials.gov/study/NCT06118411,NO,Vitiligo,DRUG: Upadacitinib|DRUG: Placebo,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,"Advanced Research Associates - Glendale /ID# 259915, Glendale, Arizona, 85308, United States|Alliance Dermatology and MOHs Center, PC /ID# 259926, Phoenix, Arizona, 85032, United States|Private Practice - Dr. Joseph Raoof /ID# 260055, Encino, California, 91436, United States|Vitiligo & Pigmentation Institute of Southern California /ID# 259970, Los Angeles, California, 90036-5679, United States|Dermatology Research Associates /ID# 260056, Los Angeles, California, 90045, United States|Integrative Skin Science and Research /ID# 260060, Sacramento, California, 95815, United States|Clinical Trials Research Institute /ID# 259910, Thousand Oaks, California, 91320-2130, United States|Skin Care Research - Boca Raton /ID# 260094, Boca Raton, Florida, 33486-2269, United States|Apex Clinical Trials /ID# 260096, Brandon, Florida, 33511, United States|Florida Academic Dermatology Center /ID# 259919, Coral Gables, Florida, 33134-5755, United States|Encore Medical Research LLC /ID# 259963, Hollywood, Florida, 33021-6476, United States|Skin Care Research - Hollywood /ID# 260101, Hollywood, Florida, 33021-6748, United States|Life Clinical Trials /ID# 260097, Margate, Florida, 33063-5704, United States|GSI Clinical Research, LLC /ID# 259918, Margate, Florida, 33063, United States|Savin Medical Group, LLC /ID# 259968, Miami Lakes, Florida, 33014-2490, United States|Advanced Clinical Research Institute /ID# 260058, Tampa, Florida, 33607, United States|Encore Medical Research of Weston LLC /ID# 260542, Weston, Florida, 33331-3642, United States|Cleaver Medical Group /ID# 259925, Dawsonville, Georgia, 30534, United States|DeNova Research /ID# 260611, Chicago, Illinois, 60611, United States|Dawes Fretzin, LLC /ID# 260068, Indianapolis, Indiana, 46256, United States|Oakland Hills Dermatology /ID# 260602, Auburn Hills, Michigan, 48326-4600, United States|Hamzavi Dermatology - Canton /ID# 260545, Canton, Michigan, 48187, United States|Michigan Center for Research Company /ID# 260069, Clarkston, Michigan, 48346, United States|Minnesota Clinical Study Center /ID# 260154, New Brighton, Minnesota, 55112, United States|DermResearchCenter of New York, Inc. /ID# 259906, Stony Brook, New York, 11790, United States|Schweiger Dermatology, P.C. /ID# 260152, Verona, New York, 07044-2946, United States|ClinOhio Research Services /ID# 260300, Columbus, Ohio, 43213-4440, United States|Oregon Dermatology and Research Center /ID# 259917, Portland, Oregon, 97210, United States|Bellaire Dermatology Associates /ID# 260044, Bellaire, Texas, 77401, United States|Dermatology Treatment and Research Center /ID# 260078, Dallas, Texas, 75230, United States|Derm Clin Res Ctr San Antonio /ID# 260047, San Antonio, Texas, 78229, United States|Progressive Clinical Research /ID# 260070, San Antonio, Texas, 78229, United States|Dermatology and Ophthalmology Kume Clinic /ID# 260555, Sakai-shi, Osaka, 5938324, Japan|Tokyo Medical University Hospital /ID# 260552, Shinjuku-ku, Tokyo, 160-0023, Japan|Yamagata University Hospital /ID# 260553, Yamagata-shi, Yamagata, 990-9585, Japan|Yamanashi Prefectural Central Hospital /ID# 260554, Kofu-shi, Yamanashi, 400-8506, Japan|Dr. Samuel Sanchez PSC /ID# 260090, Caguas, 00727, Puerto Rico|Mindful Medical Research /ID# 260092, San Juan, 00918-3756, Puerto Rico"
NCT06068218,Translational Assessment of Vitiligo According to Body Locations,https://clinicaltrials.gov/study/NCT06068218,NO,Vitiligo,OTHER: Biopsy for the patient group|OTHER: biopsy for the volunteer group,ALL,"ADULT, OLDER_ADULT",NA,"CHU de Nice - Hôpital de l'Archet, Nice, Alpes-maritimes, 06200, France"
NCT05549869,Assessment of Serum Leptin in Vitiligo Patients,https://clinicaltrials.gov/study/NCT05549869,NO,Vitiligo,DIAGNOSTIC_TEST: serum leptin,ALL,"ADULT, OLDER_ADULT",NA,"Sohag University Hospital, Sohag, Egypt"
NCT06454461,Efficacy of Upadacitinib After NECS in Vitiligo,https://clinicaltrials.gov/study/NCT06454461,NO,Vitiligo,DRUG: Upadacitinib 15 MG,ALL,ADULT,NA,
NCT05342519,Daily Topical Rapamycin for Vitiligo,https://clinicaltrials.gov/study/NCT05342519,NO,Vitiligo,DRUG: Rapamycin|DRUG: Rapamycin|DRUG: Placebo,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,"Medical University of South Carolina, Charleston, South Carolina, 29425, United States"
NCT06261073,Evaluation of Serum and Tissue Cathepsin L in Non-segmental Vitiligo Patients,https://clinicaltrials.gov/study/NCT06261073,NO,Vitiligo,DIAGNOSTIC_TEST: blood sample and tissue biopsy,ALL,ADULT,NA,
NCT03611348,Microneedling and Latanoprost in Acrofacial Vitiligo,https://clinicaltrials.gov/study/NCT03611348,NO,Vitiligo,DRUG: Latanoprost|DEVICE: Microneedling,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,
NCT05290077,Role of NGAL in Vitiligo,https://clinicaltrials.gov/study/NCT05290077,NO,Vitiligo,DIAGNOSTIC_TEST: NGAL,ALL,"ADULT, OLDER_ADULT",NA,"Sohag fuculty, Sohag, Egypt"
NCT05927272,Deciphering the Vitiligo Transcriptomic Signature Between Repigmented and Non Repigmented Lesions,https://clinicaltrials.gov/study/NCT05927272,NO,Vitiligo,PROCEDURE: SKIN SAMPLES|PROCEDURE: BLOOD SAMPLES|DEVICE: narrowband UVB|DRUG: Systemic Steroids,ALL,"ADULT, OLDER_ADULT",NA,"University Hospital of Bordeaux - St André Hospital, Bordeaux, 33000, France"
NCT05836441,Improved Phototherapy in Patients With Vitiligo,https://clinicaltrials.gov/study/NCT05836441,NO,Vitiligo,RADIATION: Exposure to white patches|RADIATION: Exposure to edge of white patches and normal skin around white patches,ALL,"CHILD, ADULT, OLDER_ADULT",NA,"The first Affiliated hospital with Nanjing medical university, Nanjing, Jiangsu, 210009, China"
NCT05917561,Efficacy and Tolerance of the Association of ANIFROLUMAB (300mg) IV Every Four Weeks and Phototherapy Versus Phototherapy in Adults With Progressive Vitiligo,https://clinicaltrials.gov/study/NCT05917561,NO,Vitiligo,DRUG: Anifrolumab Infusion Product|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,"CHU de Bordeaux, Bordeaux, 33075, France|Centre Hospitalier Régional Le Mans, Le Mans, 72037, France|Centre Hospitalier Universitaire de Nice, Nice, 06000, France|Centre Hospitalier Universitaire de Toulouse, Toulouse, 31059, France"
NCT05506995,Tissue-resident Memory T Cells Expression Among the Repigmentation Patterns Induced by NB-UVB Phototherapy in Vitiligo,https://clinicaltrials.gov/study/NCT05506995,NO,Vitiligo,,ALL,"ADULT, OLDER_ADULT",,"Dermatology Department. Hospital Central ""Dr. Ignacio Morones Prieto"", San Luis Potosí, 78290, Mexico"
NCT05298033,"Study of Efficacy, Safety and Tolerability of Crisaborole and PF-07038124 With and Without NBUVB in Vitiligo",https://clinicaltrials.gov/study/NCT05298033,NO,Vitiligo,DRUG: Crisaborole 2 % Topical Ointment|DRUG: PF-07038124 0.01% topical ointment|DEVICE: NBUVB phototherapy|DEVICE: Sham phototherapy|DRUG: Vehicle,ALL,"ADULT, OLDER_ADULT",PHASE2,"University of Colorado Anschutz - Clinical and Translational Research Centers, Aurora, Colorado, 80045, United States"
NCT04843059,ERASE VITILIGO Early Repigmentation Approach for Stopping the Evolution of VITILIGO Prospective Multicentric Interventional Study With Blinded Evaluation,https://clinicaltrials.gov/study/NCT04843059,NO,Vitiligo,OTHER: The resident memory T-cell infiltrate in perilesional vitiligo skin,ALL,ADULT,NA,"CHU de Nice, Nice, Alpes Maritimes, 06001, France|CHU Bordeaux, Bordeaux, 33440, France"
NCT05812079,Insulin Like Growth Factor-1 Against Oxidative Stress in Vitiligo,https://clinicaltrials.gov/study/NCT05812079,NO,Vitiligo,DIAGNOSTIC_TEST: skin biopsy examined by ELISA technique,ALL,ADULT,,
NCT05247489,A Study to Evaluate the Safety and Efficacy of Ruxolitinib Cream With Phototherapy in Participants With Vitiligo,https://clinicaltrials.gov/study/NCT05247489,NO,Vitiligo,DRUG: Ruxolitinib 1.5% cream|DEVICE: NB-UVB phototherapy,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,"First Oc Dermatology, Fountain Valley, California, 92708, United States|UC Davis Health, Sacramento, California, 95816, United States|Palo Alto Medical Foundation, Sunnyvale, California, 94086, United States|Delricht Clinical Research - Clinedge - Ppds Baton Rouge, Baton Rouge, Louisiana, 70809, United States|Aesthetic and Dermatology Center, Rockville, Maryland, 20850, United States|Tufts Medical Center, Boston, Massachusetts, 02111, United States|Metro Boston Clinical Partners, Brighton, Massachusetts, 02135, United States|University of Massachusetts Medical School, Worcester, Massachusetts, 01605, United States|Henry Ford Medical Center - New Center One, Detroit, Michigan, 48202, United States|Austin Institute For Clinical Research Aicr Pflugerville, Pflugerville, Texas, 78660, United States|Principle Research Solutions, Spokane, Washington, 99202, United States|Simcomed Health Ltd, Barrie, Ontario, L4M 7G1, Canada|Lynderm Research Inc, Markham, Ontario, L3P 1X2, Canada"
NCT05223738,Resident Memory T Cells in Vitiligo,https://clinicaltrials.gov/study/NCT05223738,NO,Vitiligo,,ALL,ADULT,,"Kasr El Ainy University hospital, Cairo, Egypt"
NCT04374435,Evaluating the Efficacy of the Melanocyte Keratinocyte Transplantation Procedure in the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT04374435,NO,Vitiligo,PROCEDURE: MKTP with Surgical blade|DEVICE: MKTP with Negative Pressure Instrument|DEVICE: Suction blister grafting without cell dissociation,ALL,"ADULT, OLDER_ADULT",NA,"University of California, Irvine, Irvine, California, 92697, United States"
NCT04896385,A Study to Evaluate the Mechanism of Action of Ruxolitinib Cream in Subjects With Vitiligo (TRuE-V MOA),https://clinicaltrials.gov/study/NCT04896385,YES,Vitiligo,DRUG: Ruxolitinib cream|DRUG: Vehicle Cream,ALL,"ADULT, OLDER_ADULT",PHASE2,"First Oc Dermatology, Fountain Valley, California, 92708, United States|UC Irvine, Irvine, California, 92697, United States|George Washington Medical Faculty Associates, Washington, District of Columbia, 20037, United States|Suny Downstate Medical Center, Brooklyn, New York, 11203, United States|Mount Sinai Hospital, New York, New York, 10029, United States|Dermatology Specialists of Spokane, Spokane, Washington, 99202, United States|Dermatology Research Institute, Calgary, Alberta, T1Y 0B4, Canada|Simcoderm Medical and Surgical Dermatology Center, Barrie, Ontario, L4M 7G1, Canada|Lynderm Research Inc, Markham, Ontario, L3P 1X2, Canada|JRB Research Inc, Ottawa, Ontario, K1H 7X8, Canada|Hopital Saint Andre, Bordeaux, 33000, France|Centre Hospitalier Universitaire Henri Mondor, Creteil, 94010, France|Hopital Archet 2 Derm Dept, Nice, 06200, France"
NCT06410898,Assessment of Hypoxia Inducible Factor and Autophagy Related Genes in Patients With Non-Segmental Vitiligo,https://clinicaltrials.gov/study/NCT06410898,NO,Vitiligo,DEVICE: Punch Biopsy 5mm,ALL,"ADULT, OLDER_ADULT",NA,"Sohag University hospitals, Sohag, Egypt"
NCT04858152,Hair Transplantation for Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT04858152,NO,Vitiligo,PROCEDURE: Follicular Unit Extraction via punch biopsy,ALL,"ADULT, OLDER_ADULT",NA,"University of Massachusetts Medical School, Worcester, Massachusetts, 01605, United States"
NCT04271501,Feasibility Study to Evaluate RECELL and Melanocyte Keratinocyte Transplantation Procedure for Repigmentation of Stable Vitiligo Lesions,https://clinicaltrials.gov/study/NCT04271501,NO,Vitiligo,PROCEDURE: Melanocyte-Keratinocyte Transplantation and Ultraviolet Lamp (UVB)|DEVICE: RECELL 1:5 and Ultraviolet Lamp (UVB)|DEVICE: RECELL 1:10 and Ultraviolet Lamp (UVB)|DEVICE: RECELL 1:20 and Ultraviolet Lamp (UVB),ALL,"ADULT, OLDER_ADULT",NA,"University of Massachusetts, Worcester, Massachusetts, 01655, United States"
NCT04237103,Combination of Methotrexate and Phototherapy Versus Phototherapy in Adults With Progressive Vitiligo,https://clinicaltrials.gov/study/NCT04237103,NO,Vitiligo,DRUG: Methotrexate|DRUG: Placebos,ALL,"ADULT, OLDER_ADULT",PHASE2,"Service de Dermatologie - Hôpital Saint-André, Bordeaux, 33075, France|Centre Hospitalier de Pau, Pau, 64000, France|Centre Hospitalier de Périgueux, Périgueux, 24000, France|Service de Dermatologie - CHU de Toulouse - Hopital Purpan, Toulouse, 31059 Toulouse Cedex, France"
NCT05513924,Comparative Study Between Topical 5-fluorouracil and Latanoprost in Vitiligo.,https://clinicaltrials.gov/study/NCT05513924,NO,Vitiligo,DRUG: Latanoprost 0.005% Ophthalmic Solution|DRUG: 5Fluorouracil,ALL,"CHILD, ADULT",PHASE2|PHASE3,"South Valley University, Qinā, Qena Governorate, 83523, Egypt"
NCT04822584,Evaluation of Effect and Tolerance of the Association of Baricitinib and Phototherapy Versus Phototherapy in Adults With Progressive Vitiligo,https://clinicaltrials.gov/study/NCT04822584,NO,Vitiligo,DRUG: Baricitinib Oral Product|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,"Service de Dermatologie - Hôpital Saint-André, Bordeaux, 33075, France|Service de dermatologie - Hôpital Henri Mondor - EA EpiDermE (Epidémiologie en Dermatologie et Evaluation des Thérapeutiques), Créteil, 94010, France|Centre Hospitalier Universitaire de Nice - Service de Dermatologie, Nice, 06000, France|Service de dermatologie Centre de Référence des Maladies Rares de la Peau et des muqueuses d'origine génétique - Hôpital Larrey, Toulouse, 31059 cedex 9, France"
NCT05037981,Effect of Early Systemic Stabilization Therapy on Recent Onset Vitiligo,https://clinicaltrials.gov/study/NCT05037981,NO,Vitiligo,,ALL,"CHILD, ADULT",,
NCT04765826,"Comparison Between Systemic Steroids, Topical Steroids, or Calcineurin Inhibitors With Mini Punch Grafting in Treatment of Stable Non-segmental Vitiligo",https://clinicaltrials.gov/study/NCT04765826,NO,Vitiligo,PROCEDURE: Autologous mini punch grafting,ALL,ADULT,NA,"Alexandria faculty of medicine, Alexandria, Egypt"
NCT04775979,Diphenylcyclopropenone (DPCP) as a Depigmenting Therapy in Extensive Vitiligo,https://clinicaltrials.gov/study/NCT04775979,NO,Vitiligo,DRUG: diphenylcyclopropenone (DPCP),ALL,"ADULT, OLDER_ADULT",PHASE4,"University hospitals faculty of medicine ain shams university, Cairo, Egypt"
NCT05121532,Evaluation of Serum Interleukin-15 and Interleukin-22 Levels in Patients With Non-segmental Vitiligo,https://clinicaltrials.gov/study/NCT05121532,NO,Vitiligo,DIAGNOSTIC_TEST: Interleukin-15 and Interleukin-22,ALL,"CHILD, ADULT, OLDER_ADULT",NA,
NCT04030988,Contribution of Skin Color in Stabilization of Active Cases of Vitiligo by Narrow Band UVB,https://clinicaltrials.gov/study/NCT04030988,NO,Vitiligo,DRUG: Oral dexamethasone minipulse|DRUG: Placebo oral tablet,ALL,"CHILD, ADULT",PHASE1,"Ain Shams University, Cairo, Abbaseya, 00202, Egypt"
NCT03872804,Punch Minigraft Versus Transverse Needling or Combination of Both in Treatment of Non-Segmental Vitiligo,https://clinicaltrials.gov/study/NCT03872804,NO,Vitiligo,PROCEDURE: Autologous punch mini grafts:|PROCEDURE: Transverse needling|PROCEDURE: Punch minigrafts followed by transverse needling|OTHER: Oral pulse steroid with narrow band,ALL,"CHILD, ADULT, OLDER_ADULT",NA,"Omneya abd el aziz el zagh, Alexandria, 21500, Egypt"
NCT05287776,E-cadherin and Integrin Alpha v Beta 1 in Vitiligo,https://clinicaltrials.gov/study/NCT05287776,NO,Vitiligo,DEVICE: Narrow band UVB,ALL,ADULT,NA,"Kasr El Ainy university hospital, Faulty of medicine,Cairo university, Cairo, El Manial, 11956, Egypt"
NCT04338581,Evaluation of AMG 714 for Vitiligo,https://clinicaltrials.gov/study/NCT04338581,NO,Vitiligo,BIOLOGICAL: AMG 714|BIOLOGICAL: Placebo|PROCEDURE: nbUVB phototherapy,ALL,"ADULT, OLDER_ADULT",PHASE2,"University of California, Irvine: Department of Dermatology, Irvine, California, 92697, United States|University of California Davis Health System: Department of Dermatology, Sacramento, California, 95816, United States|Yale University School of Medicine: Department of Dermatology, New Haven, Connecticut, 06824, United States|Tufts Medical Center: Department of Dermatology, Boston, Massachusetts, 02111, United States|University of Massachusetts Medical School, Worcester, Massachusetts, 01605, United States|Henry Ford Health System, Detroit, Michigan, 48202, United States|Northwell Health, Lake Success, New York, 11042, United States|Perelman School of Medicine, University of Pennsylvania: Department of Dermatology, Philadelphia, Pennsylvania, 19104, United States"
