NCT Number,Study Title,Study URL,Study Results,Conditions,Interventions,Sex,Age,Phases,Locations,Principal_Investigators
NCT04332770,Biosignals by Wearable Devices in Hypothyroidism,https://clinicaltrials.gov/study/NCT04332770,NO,Hypothyroidism,OTHER: levothyroxine withdrawal,ALL,ADULT,,"Seoul National University Bundang Hospital, Seongnam-si, Gyeonggi-do, 13620, Korea, Republic of","Principal Investigator : Jae Hoon Moon, MD , Seoul National University Bundang Hospital"
NCT03631771,Pediatric Risk of Hypothyroidism With Iodinated Contrast Media,https://clinicaltrials.gov/study/NCT03631771,NO,Hypothyroidism,DRUG: Iohexol|DRUG: Iodixanol|DRUG: Iopromide|DRUG: Ioversol,ALL,CHILD,PHASE4,,
NCT02024906,Effect of Soy Intake on Cardiovascular Disease Biomarkers in Subclinical Hypothyroid Participants,https://clinicaltrials.gov/study/NCT02024906,NO,Cardiovascular Disease|Subclinical Hypothyroid,DIETARY_SUPPLEMENT: soy protein isolate (SPI)|DIETARY_SUPPLEMENT: milk protein isolate (MPI),ALL,"ADULT, OLDER_ADULT",,"University of Kansas Medical Center, Kansas City, Kansas, 66160, United States","Principal Investigator : Jill Hamilton-Reeves, PhD, RD, LD , University of Kansas Medical Center"
NCT03342001,Hypothyroidism Treated With Calcitonin,https://clinicaltrials.gov/study/NCT03342001,YES,Hypothyroidism,DRUG: Calcitonin,ALL,"ADULT, OLDER_ADULT",PHASE4,"University of Maryland Center for Diabetes and Endocrinology, Baltimore, Maryland, 21201, United States","Principal Investigator : Kashif Munir, M.D. , University of Maryland"
NCT02959827,Iodinated Contrast Agents and Risk of Hypothyroidism in Young Children in the United States,https://clinicaltrials.gov/study/NCT02959827,YES,Hypothyroidism,DRUG: Iodinated contrast agents,ALL,CHILD,,"Oakland, Oakland, California, 94612, United States",Bayer
NCT05314790,"Management of Patients With Diagnosis of Hypothyroidism, as Hospitalized and as Outpatients, in Internal Medicine Units: Observational Study Before & After Educational Programme",https://clinicaltrials.gov/study/NCT05314790,NO,Hypothyroidism,OTHER: intervening Educational Program,ALL,"ADULT, OLDER_ADULT",,"ULSS1 Belluno San Martino, Belluno, Italy|Ospedale Versilia, Camaiore, Italy|Ospedale di Canicattì, Canicattì, Italy|Ospedale di Castiglione del Lago, Medicina del Trasimeno, Castiglione Del Lago, Italy|Garibaldi Nesima, Catania, Italy|Ospedale G.B. Morgagni - P.L. Pierantoni, Forlì, Italy|Ospedale G.P. Delogu, Ghilarza, Italy|Ospedale Gubbio-Gualdo Tadino, Gubbio, Italy|Ospedale ""F. Veneziale"", Isernia, Italy|ASL Latina, Latina, Italy|Ospedale S. Andrea, Massa Marittima, Italy|Ospedale S. Croce di Moncalieri - ASL TO5, Moncalieri, Italy|Ospedale Del Mare, Napoli, Italy|Ospedale Fatebenefratelli, Napoli, Italy|Ospedale Maggiore di Novara, Novara, Italy|Ospedale Civico di Partinico, Palermo, Italy|Ospedale ""Bianchi-Melacrino-Morelli"", Reggio Calabria, Italy|Casa Sollievo della Sofferenza, San Giovanni Rotondo, Italy|AOU di Sassari, Sassari, Italy|Ospedale San Paolo, Savona, Italy","Study Director : MAURO CAMPANINI , FADOI FOUNDATION"
NCT03180892,Non-immune Related Hypothyroidism in Iodine Sufficient Area,https://clinicaltrials.gov/study/NCT03180892,NO,Hypothyroidism,OTHER: The investigators did not apply any intervention for the participants.,ALL,"ADULT, OLDER_ADULT",,,Samsung Medical Center
NCT05712421,A Study Evaluation the Safety and Efficacy of Hormone Replacement Therapy With North Star Compared to Levothyroxine in Patients With Primary Hypothyroidism,https://clinicaltrials.gov/study/NCT05712421,NO,Hypothyroidism,DRUG: North Star|DRUG: Levothyroxine,ALL,"ADULT, OLDER_ADULT",PHASE2,"Neuvosyn Investigational Site, Birmingham, Alabama, 35209, United States|Neuvosyn Investigational Site, Canoga Park, California, 91304, United States|Neuvosyn Investigational Site, Greenbrae, California, 94904, United States|Neuvosyn Investigational Site, Toluca Lake, California, 91602, United States|Neuvosyn Investigational Site, Boca Raton, Florida, 33434, United States|Neuvosyn Investigational Site, Miami, Florida, 33144, United States|Neuvosyn Investigational Site, Miami, Florida, 33145, United States|Neuvosyn Investigational Site, Miami, Florida, 33155, United States|Neuvosyn Investigational Site, Miami, Florida, 33174, United States|Neuvosyn Investigational Site, Miami, Florida, 33179, United States|Neuvosyn Investigational Site, Sunrise, Florida, 33351, United States|Neuvosyn Investigational Site, Acworth, Georgia, 30101, United States|Neuvosyn Investigational Site, Atlanta, Georgia, 30318, United States|Neuvosyn Investigational Site, Columbus, Georgia, 31904, United States|Neuvosyn Investigational Site, Sugar Hill, Georgia, 30024, United States|Neuvosyn Investigational Site, Saginaw, Michigan, 48602, United States|Neuvosyn Investigational Site, Gladstone, Missouri, 64118, United States|Neuvosyn Investigational Site, Williamsville, New York, 14221, United States|Neuvosyn Investigational Site, Denver, North Carolina, 28037, United States|Neuvosyn Investigational Site, Winston-Salem, North Carolina, 27103, United States|Neuvosyn Investigational Site, Beavercreek, Ohio, 45440, United States|Neuvosyn Investigational Site, Columbus, Ohio, 31904, United States|Neuvosyn Investigational Site, Georgetown, Texas, 78628, United States|Neuvosyn Investigational Site, Houston, Texas, 77040, United States|Neuvosyn Investigational Site, Katy, Texas, 77450, United States|Neuvosyn Investigational Site, Katy, Texas, 77494, United States|Neuvosyn Investigational Site, Lewisville, Texas, 75067, United States|Neuvosyn Investigational Site, Paris, Texas, 75462, United States|Neuvosyn Investigational Site, Pearland, Texas, 77584, United States|Neuvosyn Investigational Site, Stafford, Texas, 77477, United States","Neuvosyn Laboratories, LLC"
NCT05412979,A Study Evaluating the Safety and Efficacy of Hormone Replacement Therapy With ST-1891 Compared to Levothyroxine in Patients With Primary Hypothyroidism,https://clinicaltrials.gov/study/NCT05412979,NO,Hypothyroidism,DRUG: ST-1891|DRUG: Levothyroxine,ALL,"ADULT, OLDER_ADULT",PHASE2,"Sention Investigational Site, Greenbrae, California, 94904, United States|Sention Investigational Site, Newhall, California, 91321, United States|Sention Investigational Site, Denver, Colorado, 80246, United States|Sention Investigational Site, Fort Lauderdale, Florida, 33312, United States|Sention Investigational Site, Jacksonville, Florida, 32258, United States|Sention Investigational Site, New Port Richey, Florida, 34652, United States|Sention Investigational Site, Palm Harbor, Florida, 34684, United States|Sention Investigational Site, Atlanta, Georgia, 30318, United States|Sention Investigational Site, Lawrenceville, Georgia, 30046, United States|Sention Investigational Site, Roswell, Georgia, 30076, United States|Sention Investigational Site, Evergreen Park, Illinois, 60805, United States|Sention Investigational Site, Newburgh, Indiana, 47630, United States|Sention Investigational Site, South Bend, Indiana, 46617, United States|Sention Investigational Site, Ankeny, Iowa, 50023, United States|Sention Investigational Site, Louisville, Kentucky, 40213, United States|Sention Investigational Site, Dearborn, Michigan, 48126, United States|Sention Investigational Site, Chesterfield, Missouri, 63017, United States|Sention Investigational Site, Jefferson City, Missouri, 65109, United States|Sention Investigational Site, Staten Island, New York, 10301, United States|Sention Investigational Site, Cary, North Carolina, 27518, United States|Sention Investigational Site, Greenville, North Carolina, 27834, United States|Sention Investigational Site, Hickory, North Carolina, 28601, United States|Sention Investigational Site, Morehead City, North Carolina, 28557, United States|Sention Investigational Site, Raleigh, North Carolina, 27609, United States|Sention Investigational Site, Rocky Mount, North Carolina, 27804, United States|Sention Investigational Site, Salisbury, North Carolina, 28144, United States|Sention Investigational Site, Wilmington, North Carolina, 28401, United States|Sention Investigational Site, Mount Pleasant, South Carolina, 29464, United States|Sention Investigational Site, Bristol, Tennessee, 37620, United States|Sention Investigational Site, Chattanooga, Tennessee, 37411, United States|Sention Investigational Site, Memphis, Tennessee, 38133, United States|Sention Investigational Site, Austin, Texas, 78731, United States|Sention Investigational Site, Austin, Texas, 78749, United States|Sention Investigational Site, Benbrook, Texas, 76132, United States|Sention Investigational Site, Live Oak, Texas, 78233, United States|Sention Investigational Site, Round Rock, Texas, 78681, United States|Sention Investigational Site, Webster, Texas, 77598, United States|Sention Investigational Site, Virginia Beach, Virginia, 23462, United States|Sention Investigational Site, Renton, Washington, 98057, United States","Sention Therapeutics, LLC"
NCT03257566,Hypothyroidism in Patients With Type 1 Diabetes,https://clinicaltrials.gov/study/NCT03257566,NO,Hypothyroidism,,ALL,CHILD,,,Assiut University
NCT02993562,"Hypothyroidism, Metabolism and Food Intake",https://clinicaltrials.gov/study/NCT02993562,NO,Hypothyroidism,DRUG: Levothyroxine,FEMALE,"ADULT, OLDER_ADULT",,"Center for Diabetes Research, Herlev and Gentofte Hospitals, Copenhagen, Region Hovedstaden, 2900, Denmark","Principal Investigator : Bjarke B Medici, MD , Department of Internal Medicine, Herlev and Gentofte hospitals."
NCT02577367,Mean Percentage of Levothyroxine Dosage Increase in Patients With Hypothyroidism Started on Enteral Feeding,https://clinicaltrials.gov/study/NCT02577367,NO,Hypothyroidism,DRUG: Levothyroxine,ALL,"ADULT, OLDER_ADULT",PHASE4,"Maimonides Medical Center, Brooklyn, New York, 11219, United States","Principal Investigator : Jocelyne Karam, MD , Maimonides Medical Center"
NCT00565864,Neurocognitive and Metabolic Effects of Mild Hypothyroidism,https://clinicaltrials.gov/study/NCT00565864,YES,Hypothyroidism,DRUG: L-thyroxine (L-T4),ALL,"ADULT, OLDER_ADULT",PHASE4,"Oregon Health and Science University, Portland, Oregon, 97201, United States","Principal Investigator : Mary Samuels, MD , Oregon Health and Science University"
NCT03095963,Interaction Between Levothyroxine and Probiotics in Hypothyroid Patients,https://clinicaltrials.gov/study/NCT03095963,NO,Hypothyroidism,OTHER: a mixture of highly charged Lactobacilli and Bifidobacteria (VSL#3®)|DRUG: levothyroxin,ALL,"ADULT, OLDER_ADULT",,,Azienda USL Modena
NCT00818896,Maternal Hypothyroidism in Pregnancy,https://clinicaltrials.gov/study/NCT00818896,NO,Hypothyroidism,,FEMALE,"CHILD, ADULT",,"Women & Infants Hospital, Providence, Rhode Island, 02905, United States","Principal Investigator : James E. Haddow, M.D. , Women & Infants Hospital"
NCT02766283,Observational Study on Hypothyroidism in Young Children Following Iodine Contrast Exposure,https://clinicaltrials.gov/study/NCT02766283,YES,Hypothyroidism,DRUG: iodinated contrast agents,ALL,CHILD,,"Multiple Locations, Israel","Study Director : Bayer Study Director , Bayer"
NCT06205303,Interventional Study to Improve Medication Adherence Using Patient Decision Aid,https://clinicaltrials.gov/study/NCT06205303,NO,Hypothyroidism,OTHER: Patient Decision Aid (Video),ALL,"ADULT, OLDER_ADULT",,"SingHealth Polyclinics, Singapore, Singapore","Principal Investigator : Kalaipriya Gunasekaran, MD , SingHealth Polyclinics"
NCT00524238,Metabolic Changes in Hypothyroid Patients,https://clinicaltrials.gov/study/NCT00524238,NO,Hypothyroidism,DRUG: L-thyroxine,ALL,"ADULT, OLDER_ADULT",,"Aarhus University Hospital, Aarhus, 8000, Denmark","Principal Investigator : Signe Gjedde, MD , Aarhus University, Clinical Institute"
NCT02917863,Randomized Crossover Trial for the Evaluation of the Possible Effects in the Intestine of Two Different Pharmaceutical Forms of L - Thyroxine in Patients With Primary Acquired Hypothyroidism,https://clinicaltrials.gov/study/NCT02917863,NO,Hypothyroidism,"DRUG: L-Thyroxine (tablet, per os)|DRUG: L-Thyroxine (oral drops, solution)",ALL,"CHILD, ADULT",PHASE4,"Meyer Children's Hospital, Florence, Italy",Meyer Children's Hospital IRCCS
NCT02364102,Effect of Hypothyroidism on Brown Adipose Tissue,https://clinicaltrials.gov/study/NCT02364102,NO,Hypothyroidism,,ALL,"ADULT, OLDER_ADULT",,"University Hospital Basel, Department of Endocrinology, Basel, BS, 4031, Switzerland","Principal Investigator : Mirjam Christ-Crain, MD , Department of Endocrinology, Diabetes and Metabolism, University Hospital Basel"
NCT02891668,"Hypothyroidism, Metabolism and Quality of Life - Focus on QOL, REE, Cognitive Function and Body Composition",https://clinicaltrials.gov/study/NCT02891668,NO,Hypothyroidism,DRUG: Levothyroxine treatment,ALL,"ADULT, OLDER_ADULT",,"Department of internal Medicine, Herlev Hospital, Herlev, Region Hovedstaden, DK-2730, Denmark","Principal Investigator : Bjarke Medici, MD , Bjarke Medici"
NCT01197183,"Observational Study With Prospective and/or Retrospective Follow-up, Without Modifying Patient Treatment and Follow-up Practices for the Initial Treatment of Hypothyroidism in France",https://clinicaltrials.gov/study/NCT01197183,NO,Hypothyroidism,,ALL,ADULT,,"Merck Lipha Santé Laboratories, Saint Romain, Lyon, 69008, France","Study Director : Dr. Frederic Landron, MD , Laboratoires Merck Lipha Santé"
NCT02567877,Is Levothyroxine Alone Adequate Thyroid Hormone Replacement?,https://clinicaltrials.gov/study/NCT02567877,NO,Postsurgical Hypothyroidism|Hypothyroidism,PROCEDURE: thyroidectomy|DRUG: levothyroxine in thyroidectomy patients,ALL,"ADULT, OLDER_ADULT",,"University of Colorado Anschutz Medical Campus, Aurora, Colorado, 80045, United States","Principal Investigator : Bryan R Haugen, M.D. , University of Colorado Denver Anschutz Medical Campus"
NCT02467244,"Effect of Levothyroxine on Serum Adiponectin, Insulin Resistance and Cardiovascular Risk in Patients With Hypothyroidism",https://clinicaltrials.gov/study/NCT02467244,NO,Hypothyroidism,DRUG: Levothyroxine,ALL,"ADULT, OLDER_ADULT",,"AIIMS, Bhubaneswar, Bhubaneshwar, Odisha, 751019, India",
NCT00206375,Growth Hormone and GnRH Agonist in Adolescents With Acquired Hypothyroidism,https://clinicaltrials.gov/study/NCT00206375,YES,Hypothyroidism,DRUG: Growth hormone|DRUG: Growth hormone treatment and puberty,ALL,CHILD,PHASE4,"Baylor college of Medicine, Houston, Texas, 77030, United States","Principal Investigator : Parvin Yazdani, MD , Baylor College of Medicine"
NCT01769157,Effects of L-carnitine on Hypothyroidism,https://clinicaltrials.gov/study/NCT01769157,NO,Hypothyroidism,DRUG: L-carnitine|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE4,"Korea University Anam Hospital, Seoul, Korea, Republic of",IlDong Pharmaceutical Co Ltd
NCT01800617,A Study of T3 Therapy in Patients With Hypothyroidism,https://clinicaltrials.gov/study/NCT01800617,NO,Hypothyroidism,"DRUG: Liothyronine, Sodium",ALL,"ADULT, OLDER_ADULT",PHASE2,"Georgetown University Hospital, Washington, District of Columbia, 20007, United States","Ipe, LLC"
NCT00403390,Generic vs. Name-Brand Levothyroxine,https://clinicaltrials.gov/study/NCT00403390,YES,Congenital Hypothyroidism|Hypothyroidism,DRUG: Brand Name Levothyroxine (Synthroid)|DRUG: Generic formulation of Levothyroxine,ALL,"CHILD, ADULT",,"Children's Hospital Boston, Boston, Massachusetts, 02115, United States","Principal Investigator : Rosalind S Brown, MD , Boston Children's Hospital"
NCT02094079,Monitoring and Evaluation of the Levothyroxin Replacement Therapy in Pregnant Women With Hypothyroidism,https://clinicaltrials.gov/study/NCT02094079,NO,Hypothyroidism,OTHER: biomedical outcomes,FEMALE,ADULT,,"Endocrine Unit O, Herlev Hospital, University of Copenhagen, Herlev, dk 2730, Denmark","Principal Investigator : Birte Nygaard, MD, phd , Endocrine Unit O, Herlev Hospital, University of Copenahgen"
NCT05821881,REduction of LEvothyroxine in Adults; a SElf Controlled Study,https://clinicaltrials.gov/study/NCT05821881,NO,Hypothyroidism,OTHER: Discontinuation of levothyroxine treatment,ALL,"ADULT, OLDER_ADULT",,"Leiden University Medical Center, Leiden, 2300 RC, Netherlands","Principal Investigator : Jacobijn Gussekloo, MD, PhD , Leiden University Medical Center"
NCT03926585,Variations in the DIO2 and MCT10 Genes and Effect of Triiodothyronine Treatment,https://clinicaltrials.gov/study/NCT03926585,NO,Hypothyroidism,,ALL,"ADULT, OLDER_ADULT",,"Herlev Hospital, Herlev, 2730, Denmark","Principal Investigator : Birte Nygaard, Ph.D. , Herlev Hospital"
NCT06073665,Dosing of LT4 in Older Individuals,https://clinicaltrials.gov/study/NCT06073665,NO,Hypothyroidism,DRUG: Levothyroxine Sodium,ALL,OLDER_ADULT,PHASE4,"Penn Medicine, Smilow Translational Research Center, Philadelphia, Pennsylvania, 19104, United States","Principal Investigator : Anne R. Cappola, M.D., Sc.M. , University of Pennsylvania"
NCT00770016,Insulin Sensitivity and Metabolism Before and After Treatment in Patients With Hypothyroidism,https://clinicaltrials.gov/study/NCT00770016,NO,Hypothyroidism,DRUG: Levothyroxin,ALL,"ADULT, OLDER_ADULT",,"Medical department M (Endocrinology and Diabetes), Aarhus University Hospital, Aarhus Sygehus,, Aarhus, 8000, Denmark","MR Research Center, Skejby Sygehus, Brendstrupgaardsvej 100, 8200 Aarhus N"
