Disease,NCT Number,Study Title,Study URL,Study Results,Sex,Age,Phases,Conditions 1,Conditions 2,Conditions 3,Conditions 4,Conditions 5,Interventions 1,Interventions 2,Interventions 3,Interventions 4,Interventions 5,Locations_1,Locations_2,Locations_3,Principal Investigators 1,Principal Investigators 2,Principal Investigators 3,,
Epilepsy,NCT01450423,Physical Exercise in Subjects With Juvenile Myoclonic Epilepsy,https://clinicaltrials.gov/study/NCT01450423,NO,ALL,"CHILD, ADULT",PHASE2,Epilepsy,Epilepsia,Epileptic Seizures,Seizure Disorder,,BEHAVIORAL: Physical activity,,,,,"Center of Research in Childhood Health, University of Southern Denmark, Odense, Region of Southern Denmark, 5000, Denmark","Epilepsy clinic, Odense University Hospital, Odense, Region of Southern Denmark, 5000, Denmark",,Lars Bo Andersen,,,,
Epilepsy,NCT03329703,Project UPLIFT for Psychogenic Non-Epileptic Seizures,https://clinicaltrials.gov/study/NCT03329703,NO,ALL,"ADULT, OLDER_ADULT",,Psychogenic Non-Epileptic Seizure,Depression,Non-Epileptic Seizure,Psychogenic Seizure,,BEHAVIORAL: Project UPLIFT,,,,,"Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, 03756, United States",,,Lindsay Schommer,,,,
Epilepsy,NCT04061707,Subcutaneous EEG: Forecasting of Epileptic Seizures,https://clinicaltrials.gov/study/NCT04061707,NO,ALL,"ADULT, OLDER_ADULT",,"Epilepsies, Focal",,,,,,,,,,"King's College Hospital NHS Foundation Trust, London, SE5 9RS, United Kingdom",,,Mark P Richardson,,,,
Epilepsy,NCT01978470,External Trigeminal Nerve Stimulation for Drug Resistent Epilepsy,https://clinicaltrials.gov/study/NCT01978470,NO,ALL,"ADULT, OLDER_ADULT",,Seizure Disorder,,,,,DEVICE: External Trigeminal Nerve Stimulation (eTNS),,,,,"Olive View/UCLA Medical Center, Sylmar, California, United States",,,,,,,
Epilepsy,NCT00542802,Levetiracetam Versus Carbamazepine in Post-Stroke Late Onset Crisis,https://clinicaltrials.gov/study/NCT00542802,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,Epileptic Seizures,Stroke,,,,DRUG: Levetiracetam,DRUG: Carbamazepine,,,,"Ospedale S. Giacomo, Novi Ligure, AL, 15057, Italy","Ospedale S. Croce E Carle, Cuneo, CN, 12100, Italy","Ospedale S. Martino, Genova, GE, 16132, Italy",domenico consoli,,,,
Epilepsy,NCT02976545,Emotional Lived in Patients Suffering From Psychogenic Nonepileptic Seizures : Study by Functional Magnetic Resonance Imaging,https://clinicaltrials.gov/study/NCT02976545,NO,FEMALE,"ADULT, OLDER_ADULT",,Psychogenic Non-epileptic Seizures,,,,,DEVICE: fMRI (functional Magnetic Resonance Imaging),BEHAVIORAL: psychiatric evaluation,,,,"CHRU de Nancy, Nancy, 54000, France",,,,,,,
Epilepsy,NCT06374966,Real-world Study of Efficacy and Safety of Zonisamide in add-on Therapy for Patients With Focal Epilepsy,https://clinicaltrials.gov/study/NCT06374966,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,"Epilepsies, Partial",,,,,DRUG: Zonisamide,,,,,"Hangzhou Children's Hospital, Hangzhou, Zhejiang, 310005, China","The Second Affiliated Hospital of Zhejiang University School of Medicine, Hangzhou, Zhejiang, 310009, China","Huzhou Third People's Hospital, Huzhou, Zhejiang, 313002, China",Shuang Wang,,,,
Epilepsy,NCT05958069,The Efficacy and Safety of Minocycline in the Treatment of Drug-resistant Epilepsy in NORSE Patients,https://clinicaltrials.gov/study/NCT05958069,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,Epileptic Seizures Related to Drugs,,,,,DRUG: minocycline,,,,,"XijingHospital, Xi'an, Shaanxi, 710032, China",,,Wen jiang,Lei Ma,yuanyuan Wang,,
Epilepsy,NCT05419180,Study of Interest of Stiripentol and Carbamazepine in the Treatment of Patients With Pharmacoresistant Focal Epilepsies,https://clinicaltrials.gov/study/NCT05419180,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,Pharmacoresistant Focal Epilepsies,,,,,DRUG: Stiripentol,,,,,"Centre de RÃ©fÃ©rence Epilepsies Rares / Centre Investigation Clinique (CIC) - HÃ´pital Necker-Enfants Malades, Paris, 75015, France",,,,,,,
Epilepsy,NCT03533374,Validation of Criteria for Identification of Epileptiform Discharges in EEG Recordings of Patients With Epilepsy,https://clinicaltrials.gov/study/NCT03533374,YES,ALL,"CHILD, ADULT, OLDER_ADULT",,Epilepsy,Non-Epileptic Seizure,,,,DIAGNOSTIC_TEST: Electroencephalogram (EEG) and visual evaluation,,,,,,,,,,,,
Epilepsy,NCT04309812,Transcranial Direct Current to Treat Epilepsy at Home,https://clinicaltrials.gov/study/NCT04309812,NO,ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,"Epilepsies, Partial",,,,,DEVICE: transcranial direct current stimulation (tDCS),,,,,"Stanford Hospital, Stanford, California, 94305-5235, United States","Stanford University School of Medicine, Stanford, California, 94305-5235, United States",,,,,,
Epilepsy,NCT06222840,Electro-clinical Features and Functional Connectivity Analysis in SYN1 Gene Mutation-related Epilepsy,https://clinicaltrials.gov/study/NCT06222840,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,Epileptic Syndromes,,,,,OTHER: Electro-clinical analysis of epileptic seizures,OTHER: Electro-encephalographic cases,OTHER: Clinical datas analysis,OTHER: Electro-encephalographic control,,"CHU Saint Etienne, Saint-Ã‰tienne, 42000, France",,,Laure,,,,
Epilepsy,NCT01663545,Brain P-gp and Inflammation in People With Epilepsy,https://clinicaltrials.gov/study/NCT01663545,NO,ALL,ADULT,,"Epilepsies, Partial",,,,,,,,,,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States",,,William H Theodore,,,,
Epilepsy,NCT03054961,Cerebral Oxygen Saturation and Cytochrome Oxidase REDOX State in Children With Epilepsy: A Pilot Study,https://clinicaltrials.gov/study/NCT03054961,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,"Epilepsies, Partial",,,,,DEVICE: Near-infrared spectroscopy,,,,,"The Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States",,,Rene Andrade-Machado,,,,
Epilepsy,NCT06223334,Epileptic Syndromes in Infants and Early Childhood,https://clinicaltrials.gov/study/NCT06223334,NO,ALL,CHILD,,Epileptic Syndromes,,,,,OTHER: No intervention,,,,,"Assiut child university hospital, Assiut, 71515, Egypt","AlAzhar university hospital Assiut branch, Assiut, 71524, Egypt",,,,,,
Epilepsy,NCT03882151,Added Value of Automated Electrical Source Localization (EPILOG PreOpÂ®) to Presurgical Evaluation of Refractory Epilepsy,https://clinicaltrials.gov/study/NCT03882151,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,"Epilepsies, Partial",,,,,DIAGNOSTIC_TEST: electrical source imaging,,,,,"Saint-Luc University Hospital, Brussels, 1200, Belgium","Centre Hospitalier William Lennox, Ottignies, 1340, Belgium",,,,,,
Epilepsy,NCT03689114,"Low vs. Standard Daily Doses of Antiepileptic Drugs in Newly Diagnosed, Previously Untreated Epilepsy(STANDLOW)",https://clinicaltrials.gov/study/NCT03689114,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,"Epilepsies, Partial",,,,,DRUG: Low dose carbamazepine,DRUG: Standard dose carbamazepine,DRUG: Low dose levetiracetam,DRUG: Standard dose levetiracetam,DRUG: Low dose valproate,"ASST Monza Ospedale San Gerardo, Monza, 20900, Italy",,,Ettore Beghi,,,,
Epilepsy,NCT03484039,Incorporating Multidimensional Psychosocial Interventions Improves the Well-being of Individuals With Epilepsy,https://clinicaltrials.gov/study/NCT03484039,NO,ALL,"ADULT, OLDER_ADULT",,Epilepsy,Seizure Disorder,,,,BEHAVIORAL: Medication Adherence,BEHAVIORAL: Seizure Documentation,BEHAVIORAL: Memory Improvement,BEHAVIORAL: Stress Management,,"UF Health Jacksonville, Jacksonville, Florida, 32209, United States",,,Ramon Edmundo D Bautista,,,,
Epilepsy,NCT01919307,Auricular Acupuncture For The Treatment Of Non-Epileptic Seizures,https://clinicaltrials.gov/study/NCT01919307,YES,ALL,"ADULT, OLDER_ADULT",,"Convulsion, Non-Epileptic",,,,,OTHER: Auricular acupuncture,,,,,"Denver Health Medical Center, Denver, Colorado, 80204, United States",,,Edward Maa,,,,
Epilepsy,NCT05273398,Effects of Diazepam on RNS Detections,https://clinicaltrials.gov/study/NCT05273398,NO,ALL,"ADULT, OLDER_ADULT",PHASE4,"Epilepsies, Partial",,,,,DRUG: nasal diazepam,,,,,"University of Cincinnati, Cincinnati, Ohio, 45267, United States",,,Michael D Privitera,,,,
Epilepsy,NCT01762215,Policy on Optimal Epilepsy Management,https://clinicaltrials.gov/study/NCT01762215,NO,ALL,"ADULT, OLDER_ADULT",,Epilepsy,Seizure Disorder,,,,BEHAVIORAL: PatientsLikeMe.com,,,,,"San Francisco VA Medical Center, San Francisco, California, 94121, United States",,,,,,,
Epilepsy,NCT01745952,Treatment of Difficult to Control Focal Epilepsy With Repetitive Transcranial Magnetic Stimulation (rTMS),https://clinicaltrials.gov/study/NCT01745952,YES,ALL,"CHILD, ADULT, OLDER_ADULT",,"Epilepsies, Partial",,,,,DEVICE: figure-of-eight active rTMS coil,DEVICE: round active rTMS coil,DEVICE: sham rTMS coil (figure-of-eight),,,"University Hospitals Leuven, department of Neurology, Leuven, 3000, Belgium",,,Van Paesschen Wim,,,,
Epilepsy,NCT02311829,Evaluation of a Telephone Follow-up Procedure on the Quality of Life in Psychogenic Non-epileptic Seizures,https://clinicaltrials.gov/study/NCT02311829,NO,ALL,"ADULT, OLDER_ADULT",,Psychogenic Non Epileptic Seizure,,,,,OTHER: Telephone follow-up device,,,,,"Chu Strasbourg, Strasbourg, Alsace, 67 098, France","Chu Dijon, Dijon, Bourgogne, 21 079, France","Chu Reims, Reims, Champagne Ardennes, 51 092, France",Louis,,,,
Epilepsy,NCT02635633,"Continuous Thetaburst Stimulation for the Treatment of Refractory Epilepsy - Safety, Feasibility and Proof-of-concept",https://clinicaltrials.gov/study/NCT02635633,NO,ALL,"ADULT, OLDER_ADULT",,"Epilepsies, Partial",,,,,DEVICE: continuous thetaburst stimulation,,,,,"University Hospital Ghent, Ghent, 9000, Belgium",,,Kristl Vonck,,,,
Epilepsy,NCT00179426,Effect of Antiseizure Medication on Hormone Levels and Sexual Function in Men With Epilepsy,https://clinicaltrials.gov/study/NCT00179426,NO,MALE,ADULT,,Seizure Disorder,Epilepsy,,,,,,,,,"Beth Israel Deaconess Medical Center, Boston, Massachusetts, 02215, United States",,,Andrew G. Herzog,,,,
Epilepsy,NCT00955357,Trial to Assess Lacosamide as the First add-on Anti-epileptic Drug Treatment in Patients With Partial-onset Seizures,https://clinicaltrials.gov/study/NCT00955357,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,Partial Epilepsies,,,,,DRUG: Lacosamide,,,,,"103, Irvine, California, United States","123, Rancho Mirage, California, United States","156, Clearwater, Florida, United States",Clinical Trial Call Center,,,,
Epilepsy,NCT00280696,A Double-blind Confirmatory Trial of Levetiracetam in Epilepsy Patients With Partial Onset Seizures,https://clinicaltrials.gov/study/NCT00280696,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,"Epilepsies, Partial",,,,,DRUG: Levetiracetam 250 mg,DRUG: Levetiracetam 500 mg,OTHER: Placebo,,,"Aichi-gun, Aichi, Japan","Nagoya, Aichi, Japan","Nayoga, Aichi, Japan",Clinical Trial Call Center,,,,
Epilepsy,NCT03807141,Evaluation of the Modified Atkins Diet in Children With Epileptic Spasms,https://clinicaltrials.gov/study/NCT03807141,NO,ALL,CHILD,PHASE2|PHASE3,Epileptic Spasms,,,,,OTHER: Modified Atkins diet,,,,,"Lady Hardinge Medical College, New Delhi, Delhi, 110018, India",,,,,,,
Epilepsy,NCT04802135,Creation of a Register of Patients With Neonatal-onset Epileptic Encephalopathy,https://clinicaltrials.gov/study/NCT04802135,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,Epileptic Encephalopathy,,,,,OTHER: Survey,,,,,"CHU Angers, Angers, France","CHU Bordeaux, Bordeaux, France","CHU Brest, Brest, France",Jean Olivier Arnaud,,,,
Epilepsy,NCT00255411,Psychiatric Correlates of Psychogenic Movement Disorder and Non-Epileptic Seizure,https://clinicaltrials.gov/study/NCT00255411,NO,ALL,"ADULT, OLDER_ADULT",,Psychogenic Movement Disorders,Non-epileptic Seizures,,,,,,,,,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States",,,,,,,
Epilepsy,NCT04147663,Epidemiology of Suspected Epileptic Seizures,https://clinicaltrials.gov/study/NCT04147663,NO,ALL,"ADULT, OLDER_ADULT",,Epilepsy,,,,,OTHER: describe the management of the adult population suffering from suspected seizure by the emergency structures,,,,,"Centre Hospitalier St Joseph St Luc, Lyon, 69007, France",,,Sylvie,,,,
Epilepsy,NCT00212745,Pilot Trial of a Behavioral Treatment for Epilepsy,https://clinicaltrials.gov/study/NCT00212745,NO,ALL,"CHILD, ADULT",PHASE1|PHASE2,"Epilepsies, Partial",,,,,BEHAVIORAL: Andrews/Reiter behavioral treatment for epilepsy,,,,,"Oregon Health and Science University, Portland, Oregon, 97239, United States",,,Siegward M Elsas,,,,
Epilepsy,NCT01235403,Trial to Assess Optimized Dosage of Lacosamide as add-on Therapy in Patients With Partial Onset Seizure,https://clinicaltrials.gov/study/NCT01235403,YES,ALL,"ADULT, OLDER_ADULT",PHASE4,Partial Epilepsies,,,,,DRUG: Lacosamide,,,,,"Amiens, France","Aubenas, France","Auxerre, France",Clinical Trial Call Center,,,,
Epilepsy,NCT00072813,MRI in Autosomal Dominant Partial Epilepsy With Auditory Features,https://clinicaltrials.gov/study/NCT00072813,NO,ALL,"ADULT, OLDER_ADULT",,"Epilepsies, Partial",,,,,,,,,,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, 20892, United States","Columbia University, New York, New York, 10032-3784, United States",,,,,,
Epilepsy,NCT00771927,Post-Authorization Safety Study to Assess the Safety of Vimpat as add-on Therapy in Patients With Partial-onset Seizures,https://clinicaltrials.gov/study/NCT00771927,YES,ALL,"CHILD, ADULT, OLDER_ADULT",,"Epilepsies, Partial",,,,,DRUG: Lacosamide,,,,,"Bron, France","Dijon, France","La Tronche, France",Clinical Trial Call Center,,,,
Epilepsy,NCT00918047,Study of PK and Safety of OXC (Oxcarbazepine) XR (Extended Release) as Adjunctive Therapy in Pediatric Epilepsy Patients,https://clinicaltrials.gov/study/NCT00918047,NO,ALL,CHILD,PHASE1,"Epilepsies, Partial",,,,,DRUG: SPN-804O,,,,,"Little Rock, Arkansas, United States","Loxahatchee Groves, Florida, United States","Tampa, Florida, United States",,,,,
Epilepsy,NCT03169751,An Exploratory Trial Using sEMG to Differentiate PNES From Epileptic Seizures,https://clinicaltrials.gov/study/NCT03169751,NO,ALL,"ADULT, OLDER_ADULT",,Non-Epileptic Seizure,Motor Seizure,Epilepsy,,,DEVICE: Brain Sentinel Monitoring and Alerting System,,,,,"Krankenhaus Hietzing mit Neurologischem Zentrum Rosenhugel, Wien, 1130, Austria",,,Christoph Baumgartner,,,,
Epilepsy,NCT00512317,Open-label Extension to Protocol 1042-0600,https://clinicaltrials.gov/study/NCT00512317,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,"Epilepsies, Partial",,,,,DRUG: ganaxolone,,,,,"University of Alabama, Birmingham, Alabama, 35294-0021, United States","Barrow Neurological Institute, Phoenix, Arizona, 85013, United States","Arkansas Epilepsy Program, Little Rock, Arkansas, 72205, United States",,,,,
Epilepsy,NCT02598076,Motivational Interviewing to Enhance Adherence of Patients With Psychogenic Non-epileptic Seizures,https://clinicaltrials.gov/study/NCT02598076,YES,ALL,"ADULT, OLDER_ADULT",,"Psychogenic Non-epileptic Seizures, Motivational Interviewing",,,,,BEHAVIORAL: motivational interviewing,BEHAVIORAL: standard psychotherapy,,,,"Brigham and Women's Hospital, Boston, Massachusetts, 02115, United States",,,,,,,
Epilepsy,NCT01098162,VimpatÂ® Added as Adjunctive Therapy to One Baseline Antiepileptic Drug,https://clinicaltrials.gov/study/NCT01098162,YES,ALL,"CHILD, ADULT, OLDER_ADULT",,"Epilepsies, Partial",,,,,,,,,,"55, Aachen, Germany","119, Aalen, Germany","194, Aichach, Germany",Clinical Trial Call Center,,,,
Epilepsy,NCT00367432,A Long Term Follow up Administration Study of L059 (Levetiracetam) in Epilepsy Patients With Partial Onset Seizures,https://clinicaltrials.gov/study/NCT00367432,YES,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,Epilepsies,Partial,,,,DRUG: Levetiracetam,,,,,"Aichi-gun, Aichi, Japan","Nagoya, Aichi, Japan","Hirosaki, Aomori, Japan",Clinical Trial Call Center,,,,
Epilepsy,NCT03559673,Compassionate Use Program With Lacosamide in Patients With Partial-onset or Generalized Tonic-clonic Seizures,https://clinicaltrials.gov/study/NCT03559673,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,"Epilepsies, Partial",,,,,DRUG: Lacosamide,,,,,,,,,,,,
Epilepsy,NCT01441401,Safety and Efficacy of Gabapen for Pediatric (Regulatory Post Marketing Commitment Plan),https://clinicaltrials.gov/study/NCT01441401,YES,ALL,CHILD,,"Epilepsies, Partial",,,,,DRUG: gabapentin,,,,,,,,Pfizer .gov Call Center,,,,
Epilepsy,NCT06007053,Retraining and Control Therapy (ReACT) R33 Phase,https://clinicaltrials.gov/study/NCT06007053,NO,ALL,"CHILD, ADULT",,"Convulsion, Non-Epileptic",,,,,BEHAVIORAL: ReACT,BEHAVIORAL: Supportive Therapy,,,,"University of Alabama at Birmingham, Birmingham, Alabama, 35294, United States",,,Aaron Fobian,,,,
Epilepsy,NCT00422110,A Study to Evaluate the Efficacy and Safety of Seletracetam in Adult Patients With Refractory Partial Onset Seizures,https://clinicaltrials.gov/study/NCT00422110,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2|PHASE3,"Epilepsies, Partial",,,,,DRUG: Seletracetam,,,,,,,,,,,,
Epilepsy,NCT03024827,Cannabidiol in Children With Refractory Epileptic Encephalopathy,https://clinicaltrials.gov/study/NCT03024827,NO,ALL,CHILD,PHASE1,Epileptic Encephalopathy,,,,,DRUG: CanniMedÂ® 1:20,,,,,"University of British Columbia, Vancouver, British Columbia, V6T1Z4, Canada","University of Manitoba, Winnipeg, Manitoba, R3T 2N2, Canada","Universite de Montreal, Montreal, Quebec, H3T1J4, Canada",Richard Huntsman,Richard Tang-Wai,Jane Alcorn,,
Epilepsy,NCT05096273,Retraining and Control Therapy (ReACT): Sense of Control and Symptom Expectations as Targets of a Treatment for PNES,https://clinicaltrials.gov/study/NCT05096273,NO,ALL,"CHILD, ADULT",,"Convulsion, Non-Epileptic",,,,,BEHAVIORAL: ReACT,,,,,"Sparks Center Office of Psychiatric Research, Birmingham, Alabama, 35294, United States",,,,,,,
Epilepsy,NCT03857074,Effects of Green Light Exposure on Epileptic Spikes in Patients With Refractory Epilepsy,https://clinicaltrials.gov/study/NCT03857074,NO,ALL,"CHILD, ADULT",,Epilepsy,Epilepsy Intractable,,,,DEVICE: Green Light Exposure,,,,,"Boston Children's Hospital, Boston, Massachusetts, 02130, United States",,,Alexander Rotenberg,Phillip Pearl,,,
Epilepsy,NCT00772603,Evaluation of Efficacy and Safety of OXC XR as Adjunctive Therapy for Partial Seizures,https://clinicaltrials.gov/study/NCT00772603,YES,ALL,"ADULT, OLDER_ADULT",PHASE3,"Epilepsies, Partial",,,,,DRUG: Placebo,DRUG: 2400mg SPN-804,DRUG: 1200mg SPN-804,,,"Huntsville, Alabama, United States","Northport, Alabama, United States","Phoenix, Arizona, United States",,,,,
