NCT Number,Study Title,Study URL,Study Results,Conditions,Interventions,Sex,Age,Phases,Locations,Principal_Investigators
NCT06469385,Topical ENS-002 for Atopic Dermatitis in Adults,https://clinicaltrials.gov/study/NCT06469385,NO,Atopic Dermatitis|Atopic Dermatitis Eczema,BIOLOGICAL: ENS-002,ALL,"ADULT, OLDER_ADULT",PHASE1,"Derm Research, Austin, Texas, 78759, United States","Study Chair : Bernardo Cervantes, PhD , Concerto Biosciences"
NCT00354510,Topical GW842470X In Adults Patients With Moderate Atopic Dermatitis,https://clinicaltrials.gov/study/NCT00354510,NO,"Atopic Dermatitis|Dermatitis, Atopic",DRUG: GW842470X cream,ALL,"ADULT, OLDER_ADULT",PHASE2,"GSK Investigational Site, Augsburg, Bayern, 86179, Germany|GSK Investigational Site, Mahlow, Brandenburg, 15831, Germany|GSK Investigational Site, Duelmen, Niedersachsen, 48249, Germany|GSK Investigational Site, Koeln, Nordrhein-Westfalen, 51063, Germany|GSK Investigational Site, Schenefeld, Schleswig-Holstein, 22869, Germany|GSK Investigational Site, Berlin, 10117, Germany|GSK Investigational Site, Berlin, 13125, Germany|GSK Investigational Site, Hamburg, 20246, Germany|GSK Investigational Site, Hamburg, 20249, Germany|GSK Investigational Site, Hamburg, 22143, Germany|GSK Investigational Site, Nijmegen, 6531 LB, Netherlands|GSK Investigational Site, Rotterdam, 3015 GD, Netherlands|GSK Investigational Site, Utrecht, 3584 CJ, Netherlands","Study Director : GSK Clinical Trials , GlaxoSmithKline"
NCT05578482,Staphylococcus Aureus and The Skin Microbiome During Flare And Resolution Of Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05578482,NO,Atopic Dermatitis|Atopic Dermatitis Eczema|Atopic Dermatitis Flare,DRUG: Dicloxacillin Oral Capsule|DRUG: Elocon 0.1 % Topical Cream,ALL,"ADULT, OLDER_ADULT",PHASE4,"Department of Dermatology, Copenhagen NV, 2100, Denmark","Principal Investigator : Jacob Thyssen, Professor, MD, DMSc , Professor, Department of Dermatology, Bispebjerg Hospital"
NCT01119313,Study to Investigate Skin Conditions and Patient Assessment of LAS 41002 in the Treatment of Atopic Eczema,https://clinicaltrials.gov/study/NCT01119313,NO,Atopic Eczema,DRUG: LAS 41002|DRUG: Active,ALL,"ADULT, OLDER_ADULT",PHASE2,"Almirall Investigational Sites#1, Hamburg, Germany","Study Director : Christoph Willers, MD, MBA , Almirall Hermal GmbH"
NCT05704205,The UPDATE Trial (Uvb Phototherapy in Dermatology for ATopic Eczema),https://clinicaltrials.gov/study/NCT05704205,NO,Atopic Dermatitis Eczema|Atopic Dermatitis,DEVICE: NB-UVB phototherapy|COMBINATION_PRODUCT: Optimal topical therapy,ALL,"ADULT, OLDER_ADULT",,"Flevoziekenhuis, Almere, Flevoland, 1315RA, Netherlands|Medisch Centrum Leeuwarden, Leeuwarden, Friesland, 8934 AD, Netherlands|Jeroen Bosch Ziekenhuis, Den Bosch, Noord-Brabant, 5223 GZ, Netherlands|Centrum Oosterwal, Alkmaar, Noord-Holland, 1817 MS, Netherlands|OLVG, Amsterdam, Noord-Holland, 1061 AE, Netherlands|Amsterdam Universitair Medische Centra, Amsterdam, Noord-Holland, 1105 AZ, Netherlands|Huid Medisch Centrum, Amsterdam, Noord-Holland, 1105 BJ, Netherlands|Bergman Clinics, Haarlem, Noord-Holland, 2015 BJ, Netherlands|Spaarne Gasthuis, Hoofddorp, Noord-Holland, 2134 TM, Netherlands|Dijklander Ziekenhuis, Purmerend, Noord-Holland, 1441 RN, Netherlands|Isala Klinieken, Zwolle, Overijssel, Netherlands|Meander Medisch Centrum, Amersfoort, Utrecht, 3813 TZ, Netherlands|Reinier de Graaf Gasthuis, Delft, Zuid-Holland, 2625 AD, Netherlands|Leids Universitair Medisch Centrum, Leiden, Zuid-Holland, 2333 ZA, Netherlands|Alrijne Ziekenhuis, Leiderdorp, Zuid-Holland, Netherlands|Erasmus Medisch Centrum, Rotterdam, Zuid-Holland, 3015 GD, Netherlands","Principal Investigator : Louise AA Gerbens, MD PhD , Amsterdam University Medical Centers"
NCT04800185,Characterizing Skin Microbiome Change in Atopic Dermatitis,https://clinicaltrials.gov/study/NCT04800185,NO,Atopic Dermatitis|Atopic Dermatitis Eczema,DRUG: Crisaborole 2% Top Oint|GENETIC: Skin Microbiome Swabs,ALL,"CHILD, ADULT, OLDER_ADULT",EARLY_PHASE1,"University of California, Irvine - Dermatology Clinical Research, Irvine, California, 92697, United States","Principal Investigator : Natasha Atanaskova Mesinkovska, MD, PhD , University of California, Irvine"
NCT03667014,The Impact of Dupilumab on Quality of Life in Moderate to Severe Atopic Dermatitis Patients,https://clinicaltrials.gov/study/NCT03667014,YES,Atopic Dermatitis|Atopic Dermatitis Eczema,DRUG: Dupilumab,ALL,"ADULT, OLDER_ADULT",PHASE4,"UCSF Psoriasis and Skin Treatment Center, San Francisco, California, 94118, United States","Principal Investigator : Tina Bhutani, MD , University of California, San Francisco"
NCT05719649,The Efficacy of NTU 101 Lactic Acid Bacteria Powder in the Adjuvant Improvement of Atopic Dermatitis Clinical Trial,https://clinicaltrials.gov/study/NCT05719649,NO,Atopic Dermatitis|Atopic Dermatitis Eczema,DIETARY_SUPPLEMENT: Lactic acid bacteria NTU 101|DIETARY_SUPPLEMENT: Placebo,ALL,CHILD,,,
NCT06174493,Investigating Participation Patterns of Patients in Atopic Dermatitis Clinical Trials,https://clinicaltrials.gov/study/NCT06174493,NO,Atopic Dermatitis,,ALL,"ADULT, OLDER_ADULT",,"Power Life Sciences, San Francisco, California, 94107, United States","Study Director : Michael B Gill , Power Life Sciences Inc."
NCT06004986,DUPIlumab Dose REDUCtion in Patients With Controlled Atopic Eczema,https://clinicaltrials.gov/study/NCT06004986,NO,Atopic Dermatitis|Atopic Dermatitis Eczema,DRUG: Dupilumab,ALL,"ADULT, OLDER_ADULT",PHASE4,"Amsterdam University Medical Centers, Amsterdam, Noord-Holland, 1105 AZ, Netherlands|Erasmus Medical Center, Rotterdam, Zuid-Holland, 3015 GD, Netherlands","Study Chair : Louise AA Gerbens, MD PhD , Amsterdam University Medical Centers Principal Investigator : Phyllis I Spuls, MD PhD , Amsterdam University Medical Centers Principal Investigator : DirkJan Hijnen, MD PhD , Erasmus Medical Center"
NCT05502185,Targeting Staphylococci in Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05502185,NO,Atopic Dermatitis,,ALL,"ADULT, OLDER_ADULT",,,"Principal Investigator : Alan IRVINE, MD , Clinical Research Facility in Trinity College of Dublin/St. James Hospital"
NCT06455891,MYCobiome Analysis in Atopic Dermatitis With Head and Neck Involvement,https://clinicaltrials.gov/study/NCT06455891,NO,Atopic Dermatitis,,ALL,"ADULT, OLDER_ADULT",,"Tenon Hospital APHP dermatology and allergology department, Paris, 75020, France","Principal Investigator : Angèle SORIA, PU-PH , Assistance Publique - Hôpitaux de Paris"
NCT06395948,A Study Evaluating APG777 in Atopic Dermatitis,https://clinicaltrials.gov/study/NCT06395948,NO,Atopic Dermatitis,DRUG: APG777|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,"Investigational Site #14, Fountain Valley, California, 92708, United States|Investigational Site # 8, San Diego, California, 92123, United States|Investigational Site # 1, Coral Gables, Florida, 33134, United States|Investigational Site # 2, Rockville, Maryland, 20850, United States|Investigational Site #10, Troy, Michigan, 48084, United States|Investigational Site #16, Portsmouth, New Hampshire, 13801, United States|Investigational Site # 3, Wilmington, North Carolina, 28403, United States|Investigational Site #12, Mason, Ohio, 45040, United States|Investigational Site # 4, Nashville, Tennessee, 37215, United States|Investigational Site # 18, San Antonio, Texas, 78213, United States|Investigational Site # 5, Norfolk, Virginia, 23502, United States|Investigational Site # 7, Mill Creek, Washington, 98012, United States|Investigational Site #19, Winnipeg, Manitoba, R3M 3Z4, Canada|Investigational Site #15, Fredericton, New Brunswick, E3B 1G9, Canada|Investigational Site # 9, Markham, Ontario, L3P1X3, Canada|Investigational Site #13, Peterborough, Ontario, K9J 5K2, Canada|Investigational Site #11, Toronto, Ontario, M4W 2N4, Canada|Investigational Site # 6, Montreal, Quebec, H2X 2V1, Canada|Investigational Site #17, Québec, Quebec, G1V4X7, Canada","Apogee Therapeutics, Inc."
NCT05467046,Clinical Relevance of Scratching and Sleep in Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05467046,NO,Atopic Dermatitis,DEVICE: Smartwatch system,ALL,"ADULT, OLDER_ADULT",,"University of Utrecht, Utrecht, Netherlands","Principal Investigator : Marjolein de Buin-Weller, MD, PhD , University Medical Center Utrecht (UMC Utrecht)"
NCT04715087,Staphylococcus Aureus in Atopic Dermatitis Immunopathology,https://clinicaltrials.gov/study/NCT04715087,NO,Atopic Dermatitis,"OTHER: Blood sample (Day -42 to Day -28, Day 3),Skin swab sampling (Day -42 to Day -28, Day 0, Day 13) , patch test application (Day 0) , skin biopsies (Day 13)|OTHER: Blood sample (Day 0 ,Day 3),Skin swab sampling (Day 0,Day 13), patch test application (Day 1), skin biopsies (Day 13)",ALL,"ADULT, OLDER_ADULT",,"Centre Hospitalier Lyon Sud, Pierre-Bénite, 69495, France","Principal Investigator : Audrey NOSBAUM, MD, PhD , Allergy and Clinical Immunology Department - Centre Hospitalier Lyon Sud"
NCT05904509,Insulin Resistance in Atopic Dermatitis Patients,https://clinicaltrials.gov/study/NCT05904509,NO,Atopic Dermatitis,,ALL,"CHILD, ADULT, OLDER_ADULT",,"Bezmialem Vakif University Hospital, Istanbul, Turkey",Bezmialem Vakif University
NCT06244212,Topical Treatment for Atopic Dermatitis,https://clinicaltrials.gov/study/NCT06244212,NO,Atopic Dermatitis,OTHER: Demonstration of applying triamcinolone cream|BEHAVIORAL: Mobile App Use|OTHER: Standard of Care,ALL,"CHILD, ADULT, OLDER_ADULT",,"Wake Forest University Health Sciences, Winston-Salem, North Carolina, 27157, United States",
NCT05286047,Probiotic on Atopic Dermatitis in Infant,https://clinicaltrials.gov/study/NCT05286047,NO,Atopic Dermatitis,DIETARY_SUPPLEMENT: Bifidobacterium longum CCFM1029|DIETARY_SUPPLEMENT: Placebo,ALL,CHILD,,"Glac Biotech Co., Ltd., Tainan City, 74442, Taiwan","Glac Biotech Co., Ltd"
NCT06316609,Prenatal Exposure to Emerging Contaminants and Children's Atopic Dermatitis,https://clinicaltrials.gov/study/NCT06316609,NO,Atopic Dermatitis,OTHER: Gestational Exposure to Emerging Contaminants (ECs),ALL,"CHILD, ADULT, OLDER_ADULT",,"Children Hospital of Fudan University, Shanghai, Shanghai, 201102, China",
NCT05969730,Baricitinib Versus Azathioprine in Patients With Moderate-to-Severe Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05969730,NO,Atopic Dermatitis,DRUG: Baricitinib 4 MG|DRUG: Azathioprine 1.5-2.5 mg/kg,ALL,"ADULT, OLDER_ADULT",,"Iran, Sari, Mazandaran, Iran, Islamic Republic of",
NCT05971355,Comparison of LimpiAD Cream 2.5% Plus Versus Vehicle and an Emollient in Patients With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05971355,NO,Atopic Dermatitis,"DEVICE: LimpiAD cream 2,5% plus|OTHER: Vehicle|OTHER: Emollient",ALL,CHILD,,"University of Bari Hospital, Bari, Italy|University of Modena e Reggio Emilia, Modena, Italy|University of Naples Hospital, Naples, Italy|S. Gallicano Hospital, Rome, Italy|University Rome La Sapienza (Hospital Umberto I), Rome, Italy",
NCT05783453,CLINICAL EFFICACY OF EMOLLIENTS IN ATOPIC DERMATITIS PATIENTS,https://clinicaltrials.gov/study/NCT05783453,NO,Atopic Dermatitis,OTHER: Cosmetic study,ALL,"CHILD, ADULT, OLDER_ADULT",,"CIDP, Rio de Janeiro, 20231-048, Brazil","Study Director : Daniele Miranda, MD , CIDP Brasil"
NCT05523986,Vitamin D Treatment Effect for Atopic Dermatitis in Children,https://clinicaltrials.gov/study/NCT05523986,NO,Atopic Dermatitis,OTHER: Vitamin D|OTHER: Placebo,ALL,"CHILD, ADULT",,"China Medical University Hospital, Taichung, 404, Taiwan",China Medical University Hospital
NCT06447506,Long-Term Study (AtDvance) to Evaluate GSK1070806 in Atopic Dermatitis.,https://clinicaltrials.gov/study/NCT06447506,NO,"Dermatitis, Atopic",DRUG: GSK1070806,ALL,"ADULT, OLDER_ADULT",PHASE2,"GSK Investigational Site, Phoenix, Arizona, 85006, United States|GSK Investigational Site, North Little Rock, Arkansas, 72117, United States|GSK Investigational Site, Canoga Park, California, 91303, United States|GSK Investigational Site, Fountain Valley, California, 92708, United States|GSK Investigational Site, Santa Monica, California, 90404, United States|GSK Investigational Site, Pompano Beach, Florida, 33060, United States|GSK Investigational Site, Fayetteville, Georgia, 30214, United States|GSK Investigational Site, Thomasville, Georgia, 31792, United States|GSK Investigational Site, Methuen, Massachusetts, 01844, United States|GSK Investigational Site, Troy, Michigan, 48084, United States|GSK Investigational Site, New York, New York, 10075, United States|GSK Investigational Site, Dublin, Ohio, 43016, United States|GSK Investigational Site, W. Lake Hills, Texas, 78746, United States|GSK Investigational Site, Springville, Utah, 84663, United States|GSK Investigational Site, Caba, Buenos Aires, C1055AAO, Argentina|GSK Investigational Site, Ciudad Autonoma de Buenos Aires, Buenos Aires, C1207AAP, Argentina|GSK Investigational Site, Cordoba, Córdova, X5000AAW, Argentina|GSK Investigational Site, Rosario, Santa Fe, S2002, Argentina|GSK Investigational Site, Buenos Aires, C1181ACH, Argentina|GSK Investigational Site, Mendoza, 5500, Argentina|GSK Investigational Site, Pleven, 5800, Bulgaria|GSK Investigational Site, Sofia, 1510, Bulgaria|GSK Investigational Site, Sofia, Bulgaria|GSK Investigational Site, Barrie, Ontario, Canada|GSK Investigational Site, London, Ontario, N6H 5L5, Canada|GSK Investigational Site, Markham, Ontario, L3P1X2, Canada|GSK Investigational Site, Quebec, G1W 4R4, Canada|GSK Investigational Site, Chongqing, Chongqing, 400016, China|GSK Investigational Site, Shanghai, Shanghai, China|GSK Investigational Site, Hangzhou, Zhejiang, 310000, China|GSK Investigational Site, Yiwu City, Zhejiang, 322000, China|GSK Investigational Site, Beijing, 100044, China|GSK Investigational Site, Fu Zhou, 350014, China|GSK Investigational Site, Guangzhou, China|GSK Investigational Site, Shanghai, 200025, China|GSK Investigational Site, Yinchuan, China|GSK Investigational Site, Prague, 10034, Czechia|GSK Investigational Site, Praha 2, 128 08, Czechia|GSK Investigational Site, Praha, Czechia|GSK Investigational Site, La Rochelle cedex 1, 17019, France|GSK Investigational Site, Nice, 06200, France|GSK Investigational Site, Paris cedex 10, 75475, France|GSK Investigational Site, Essen, Nordrhein-Westfalen, 45122, Germany|GSK Investigational Site, Muenster, Nordrhein-Westfalen, 48149, Germany|GSK Investigational Site, Kiel, Schleswig-Holstein, 24105, Germany|GSK Investigational Site, Berlin, 10789, Germany|GSK Investigational Site, Hamburg, 22391, Germany|GSK Investigational Site, Athens, Greece|GSK Investigational Site, Thessaloniki, 546 43, Greece|GSK Investigational Site, Bologna, Emilia Romagna, 40138, Italy|GSK Investigational Site, Modena, Emilia-Romagna, 41124, Italy|GSK Investigational Site, Roma, Lazio, 00128, Italy|GSK Investigational Site, Bari, 70124, Italy|GSK Investigational Site, Firenze, Italy|GSK Investigational Site, Roma, 00168, Italy|GSK Investigational Site, Chiba, 272-0033, Japan|GSK Investigational Site, Chiba, 279-0021, Japan|GSK Investigational Site, Fukuoka, 807-8556, Japan|GSK Investigational Site, Fukuoka, 812-8582, Japan|GSK Investigational Site, Gunma, 370-0829, Japan|GSK Investigational Site, Hokkaido, 060-0033, Japan|GSK Investigational Site, Hokkaido, 080-0013, Japan|GSK Investigational Site, Kanagawa, 211-0063, Japan|GSK Investigational Site, Osaka, 583-8588, Japan|GSK Investigational Site, Osaka, 593-8324, Japan|GSK Investigational Site, Saitama, 343-8555, Japan|GSK Investigational Site, Gyeonggi-do, 15355, Korea, Republic of|GSK Investigational Site, Seoul, 03722, Korea, Republic of|GSK Investigational Site, Seoul, 04763, Korea, Republic of|GSK Investigational Site, Seoul, 100 799, Korea, Republic of|GSK Investigational Site, Seoul, 150-950, Korea, Republic of|GSK Investigational Site, Durango., Durango, 34000, Mexico|GSK Investigational Site, Guadalajara, Jalisco, 44628, Mexico|GSK Investigational Site, Chihuahua, 31000, Mexico|GSK Investigational Site, Monterrey, 64718, Mexico|GSK Investigational Site, Ciudad de Panama, 7099, Panama|GSK Investigational Site, Chojnice, 89-600, Poland|GSK Investigational Site, Elblag, 82-300, Poland|GSK Investigational Site, Katowice, 40-600, Poland|GSK Investigational Site, Poznan, 60-569, Poland|GSK Investigational Site, Szczecin, 70-332, Poland|GSK Investigational Site, Warsaw, 03-291, Poland|GSK Investigational Site, Majadahonda, Madrid, 28222, Spain|GSK Investigational Site, Vigo, Pontevedra, 36206, Spain|GSK Investigational Site, Alicante, ?03010, Spain|GSK Investigational Site, Córdoba, 14004, Spain|GSK Investigational Site, Granada, 18016, Spain|GSK Investigational Site, Valencia, 46026, Spain|GSK Investigational Site, Zaragoza, 50009, Spain|GSK Investigational Site, Bangkok, Pathum Wan, 10330, Thailand|GSK Investigational Site, Khlong Luang, 12120, Thailand",GlaxoSmithKline
NCT05466877,A Study of MG-K10 in Subjects With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05466877,NO,Atopic Dermatitis,DRUG: MG-K10|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,"The First Affiliated Hospital of Bengbu Medical College, Bengbu, China|Huashan Hospital Affiliated to Fudan University, Shanghai, China","Principal Investigator : Jinhua Xu, Medical Ph.D , Huashan Hospital"
NCT05833880,Use of Complementary and Alternative Medicine in Children and Adults With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT05833880,NO,Atopic Dermatitis,BEHAVIORAL: Self-administered questionnaire,ALL,"CHILD, ADULT, OLDER_ADULT",,"University Hospital of Nancy, Nancy, France","Principal Investigator : Anne-Claire Bursztejn , University Hospital of Nancy, France"
NCT06026891,Study of MG-K10 Humanized Monoclonal Antibody Injection in Patients With Atopic Dermatitis,https://clinicaltrials.gov/study/NCT06026891,NO,Atopic Dermatitis,DRUG: MG-K10/Placebo,ALL,"ADULT, OLDER_ADULT",PHASE3,"Peking University People's Hospital, Beijing, China","Principal Investigator : Jianzhong Zhang, Medical Ph.D , Feking University People's Hospital"
NCT02087943,Efficacy and Safety Study of Apremilast in Subjects With Moderate to Severe Atopic Dermatitis,https://clinicaltrials.gov/study/NCT02087943,YES,"Dermatitis, Atopic Dermatitis",DRUG: Apremilast|DRUG: Apremilast|DRUG: Placebo|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,"Arizona Research Center, Phoenix, Arizona, 85023, United States|Bakersfield Dermatology and Skin Cancer Medical Group, Bakersfield, California, 93309, United States|Dermatology Research Associates, Los Angeles, California, 90045, United States|Renstar Medical Research, Ocala, Florida, 34471, United States|Emory Clinic, Atlanta, Georgia, 30322, United States|Advanced Medical Research, Atlanta, Georgia, 30342, United States|Northwestern University Northwestern Medical Faculty Foundation, Chicago, Illinois, 60611, United States|Northwestern Medicine Lake Forest Hospital, Lake Forest, Illinois, 60045, United States|Dermatology Specialists, PSC, Louisville, Kentucky, 40202, United States|Dartmouth Hitchcock Medical Center, Lebanon, New Hampshire, 03756, United States|NYU Department of Dermatology, New York, New York, 10016, United States|Mount Sinai Medical Center, New York, New York, 10029, United States|PMG Research of Winston-Salem LLC, Winston-Salem, North Carolina, 27103-3914, United States|Oregon Health and Science University, Portland, Oregon, 97201-3098, United States|Virginia Clinical Research Inc, Norfolk, Virginia, 23507, United States|Chih-Ho Hong Medical, Inc., Surrey, British Columbia, V3R 6A7, Canada|Eastern Canada Cutaneous Research Associates Ltd, Halifax, Nova Scotia, B3H 1Z2, Canada|Ultranova Skincare, Barrie, Ontario, L4M 6L2, Canada|K. Papp Clinical Research, Waterloo, Ontario, N2J 1C4, Canada|Innovaderm Research, Montreal, Quebec, H2K 4L5, Canada|Centre Dermatologique du Quebec Metropolitain, Ste-Foy, Quebec, G1V 4X7, Canada|Kokubu Abashiri Dermatology Clinic, Abashiri-shi, Hokkaido, 093-0016, Japan|Asanuma Dermatology Clinic, Chitose-shi, Hokkaido, 066-0064, Japan|Fukuoka University Hospital Dermatology, Fukuoka-shi, Fukuoka, 814-0180, Japan|Hatamoto Dermatology Clinic, Fukuoka-shi, Fukuoka, 815-0075, Japan|Tashiro Clinic, Iizuka-shi, Fukuoka, 820-0040, Japan|Kokubu Dermatology, Kitami-shi, Hokkaido, 090-0832, Japan|University Hospital, Kyoto Prefectural University of Medicine, Kyoto-City, 602-8566, Japan|Kyoto University Hospital, Kyoto, 606-8507, Japan|Sapporo Skin Clinic, Sapporo-shi, Hokkaido, 060-0063, Japan|NTT Medical Center Tokyo, Shinagawa-ku, Tokyo, 141-8625, Japan","Study Director : MD , Amgen"
NCT02906475,Atopic Dermatitis in Atopy Predisposed Infants,https://clinicaltrials.gov/study/NCT02906475,NO,"Dermatitis, Atopic",OTHER: standardized skin care regimen,ALL,CHILD,,"Charite Universitätsmedizin Berlin, Berlin, 10117, Germany","Principal Investigator : Ulrike Blume-Peytavi, Prof. Dr. , Charite Universitätsmedizin Berlin"
