Disease,NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Sex,Age,Phases,Study Type,Locations,Principal Investigators,Collaborators
Chronic Focal Encephalitis,NCT00259805,A Pilot Study of the Use of Rituximab in the Treatment of Chronic Focal Encephalitis,https://clinicaltrials.gov/study/NCT00259805,COMPLETED,"The purpose of this study is to assess the safety, tolerability and effectiveness of rituximab in the treatment of chronic focal encephalitis.",NO,Chronic Focal Encephalitis|Rasmussen's Encephalitis,DRUG: Rituximab,ALL,"CHILD, ADULT",PHASE1,INTERVENTIONAL,"California Pacific Medical Center, San Francisco, California, 94115, United States","Kenneth D Laxer, M.D","Genentech, Inc."
Epilepsy,NCT06388174,Idiopathic Generalized Epilepsy Syndromes,https://clinicaltrials.gov/study/NCT06388174,RECRUITING,"The idiopathic generalized epilepsies (IGEs) have historically included the syndromes childhood absence epilepsy (CAE), juvenile absence epilepsy (JAE), juvenile myoclonic epilepsy (JME), and epilepsy with generalized tonic-clonic seizures alone (GTCA). Recognition of the IGEs is important for clinical care, as it informs diagnosis, prevents unnecessary investigation, allows optimal selection of anti-seizure medications (ASMs), and provides prognostic guidance.

According to the new ILAE definition in 2022, the study aims to describe the clinical features, electroencephalographic, imaging findings and long-term prognosis.",NO,"Epilepsy|Epilepsy, Idiopathic Generalized",,ALL,"CHILD, ADULT",,OBSERVATIONAL,"2nd Affiliated Hospital, School of Medicine, Zhejiang University, China, Hangzhou, Zhejiang, 310000, China",Chunhong Shen,
Epilepsy,NCT00860145,Radiosurgery or Open Surgery for Epilepsy Trial,https://clinicaltrials.gov/study/NCT00860145,COMPLETED,"This study will compare radiosurgery (focused radiation, Gamma Knife Radiosurgery) with temporal lobectomy (standard surgical care) as a treatment of temporal lobe epilepsy. Patients who have seizures that begin in their temporal lobe that are not controlled with medications into the trial will be offered entry. Patients with a high likelihood of having their seizures controlled with open surgery will have treatment randomized between the standard surgery and radiosurgery. A prior study has shown that focused radiation (radiosurgery) may also reduce or eliminate seizures arising from the temporal lobe. The main study hypothesis is that radiosurgery is as safe and effective as temporal lobectomy in treating patients with seizures arising from the medial temporal lobe.",NO,Epilepsy,PROCEDURE: radiosurgery|PROCEDURE: temporal lobectomy,ALL,"ADULT, OLDER_ADULT",NA,INTERVENTIONAL,"University of Alabama at Birmingham, Birmingham, Alabama, 35294, United States|University of California, San Diego, La Jolla, California, 92037, United States",Lawrence Ver Hoef|Guy McKhann|Vincenta Salanova|Thomas Pittman,
Epilepsy,NCT06388161,Neural Autoantibody Prevalence in New-onset Focal Seizures of Unknown Etiology,https://clinicaltrials.gov/study/NCT06388161,RECRUITING,"Seizure is one of the most common symptoms in autoimmune encephalitis with neuronal surface-mediated antibodies. Interestingly, some patients may exhibit new-onset seizures as the initial manifestation without fulminant sign of encephalitis, particularly in the early stage.
 
 It is essential to recognize these patients early and to perform antibody testing, as studies have reported early immunotherapy can improve their clinical outcomes. At the same time, it is important to limit the number of patients who require testing, for the sake of specificity and cost effectiveness. Thus, this prospective, multicenter study aims to identify neural antibodies in patients with focal seizures of unknown etiology, and to create a score to preselect patients requiring autoantibody testing.",NO,Epilepsy|Encephalitis Autoimmune,,ALL,"CHILD, ADULT, OLDER_ADULT",,OBSERVATIONAL,"2nd Affiliated Hospital, School of Medicine, Zhejiang University, China, Hangzhou, Zhejiang, China",Chunhong Shen,Sir Run Run Shaw Hospital|Ningbo Medical Center Lihuili Hospital|Shaoxing People's Hospital
HER2 Positive Breast Cancer,NCT05132582,A Study of Tucatinib or Placebo With Trastuzumab and Pertuzumab for Metastatic HER2+ Breast Cancer,https://clinicaltrials.gov/study/NCT05132582,RECRUITING,"This study is being done to see if tucatinib works better than placebo when given with other drugs to treat participants with HER2-positive breast cancer. A placebo is a pill that looks the same as tucatinib but has no medicine in it. This study will also test what side effects happen when participants take this combination of drugs. A side effect is anything a drug does to the body besides treating your disease.

Participants will have cancer that has spread in the body near where it started (locally advanced) and cannot be removed (unresectable) or has spread through the body (metastatic).

In this study, all participants will get either tucatinib or placebo. Participants will be assigned randomly to a group. This is a blinded study, so patients and their doctors will not know which group a participant is in.

All participants will also get trastuzumab and pertuzumab. These are 2 drugs used to treat this type of cancer.",NO,HER2 Positive Breast Cancer,DRUG: Tucatinib|DRUG: Trastuzumab|DRUG: Pertuzumab|DRUG: Combination product: Trastuzumab + Pertuzumab|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE3,INTERVENTIONAL,"Mayo Clinic Arizona, Phoenix, Arizona, 85054, United States|CARTI Cancer Center, Little Rock, Arkansas, 72205, United States|UC San Diego / Moores Cancer Center, La Jolla, California, 92093, United States",Medical Monitor,Merck Sharp & Dohme LLC
Childhood Cancer,NCT03297034,Swiss Childhood Cancer Survivor Study,https://clinicaltrials.gov/study/NCT03297034,RECRUITING,"The SCCSS is designed to investigate which long-term effects childhood cancer and its treatment have on survivors, and includes those who were under 20 years when they were diagnosed. The SCCSS explores childhood cancer survivors' quality of life, the health care received by childhood cancer survivors during follow-up care, the effects of medication, somatic and psychosocial health issues, how childhood cancer survivors take care of their own health, and also collects demographic details like family background, education and profession. To learn more about these topics, the investigators send questionnaires to childhood or adolescent cancer survivors. The investigators use the results to inform physicians and patients, and to improve treatment of childhood cancer and follow-up.",NO,Childhood Cancer,,ALL,"CHILD, ADULT, OLDER_ADULT",,OBSERVATIONAL,"Institute of Social and Preventive Medicine (ISPM), University of Bern, Bern, 3012, Switzerland",Claudia E Kuehni,Swiss Pediatric Oncology Group
Cardiovascular Diseases,NCT03297034,Swiss Childhood Cancer Survivor Study,https://clinicaltrials.gov/study/NCT03297034,RECRUITING,"The SCCSS is designed to investigate which long-term effects childhood cancer and its treatment have on survivors, and includes those who were under 20 years when they were diagnosed. The SCCSS explores childhood cancer survivors' quality of life, the health care received by childhood cancer survivors during follow-up care, the effects of medication, somatic and psychosocial health issues, how childhood cancer survivors take care of their own health, and also collects demographic details like family background, education and profession. To learn more about these topics, the investigators send questionnaires to childhood or adolescent cancer survivors. The investigators use the results to inform physicians and patients, and to improve treatment of childhood cancer and follow-up.",NO,Childhood Cancer,,ALL,"CHILD, ADULT, OLDER_ADULT",,OBSERVATIONAL,"Institute of Social and Preventive Medicine (ISPM), University of Bern, Bern, 3012, Switzerland",Claudia E Kuehni,Swiss Pediatric Oncology Group
Childhood Cancer,NCT03790943,Cardiac Dysfunction in Childhood Cancer Survivors,https://clinicaltrials.gov/study/NCT03790943,RECRUITING,"This multicenter, prospective cohort study evaluates early cardiac dysfunction in adult survivors of childhood cancer. The hypothesis of this study is that cardiac dysfunction can be detected earlier when using speckle tracking echocardiography as novel echocardiographic technique compared to conventional echocardiography.",NO,Cardiac Dysfunction|Cardiovascular Diseases|Childhood Cancer,DIAGNOSTIC_TEST: cardiac assessment,ALL,"ADULT, OLDER_ADULT",,OBSERVATIONAL,"Department of Cardiology, University Hospital Basel, Basel, Basel-City, 4031, Switzerland|Institute of Social and Preventive Medicine, University of Bern, Bern, BE, 3012, Switzerland",Claudia E Kuehni,"University Hospital, Basel, Switzerland|University Children's Hospital Basel|Insel Gruppe AG, University Hospital Bern"
Multiple Sclerosis,NCT05029206,Hematopoietic Stem Cell Transplantation for Treatment of Multiple Sclerosis in Sweden,https://clinicaltrials.gov/study/NCT05029206,COMPLETED,"This is an observational cohort study with retrospective analysis of prospectively collected data. The study cohort is constituted of all patients with relapsing-remitting multiple sclerosis (RRMS) treated with autologous stem cell transplantation (AHSCT) in Sweden from 2004 when the first AHSCT was performed until 31 December 2019. The study aims to describe the effectiveness, safety and patient reported outcomes of AHSCT for MS through real world data. Treatment related mortality will be analyzed from start of mobilization until the end of the study. For other adverse events the data collection will end 3 months post-transplantation. A statistical subgroup comparison of efficacy and safety between the conditioning regimens BEAM-ATG and Cy-ATG will be included within the study.",NO,"Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting",PROCEDURE: Autologous hematopoietic stem cell transplantation,ALL,"CHILD, ADULT, OLDER_ADULT",,OBSERVATIONAL,"Sahlgrenska University Hospital, Gothenburg, Sweden|LinkÃ¶ping University Hospital, LinkÃ¶ping, Sweden|SkÃ¥ne University Hospital, Lund, Sweden|",Joachim Burman|Thomas Silfverberg,"Karolinska University Hospital|Sahlgrenska University Hospital, Sweden|Uppsala University Hospital|"
Multiple Sclerosis,NCT03477500,"Randomized Autologous heMatopoietic Stem Cell Transplantation Versus Alemtuzumab, Cladribine or Ocrelizumab for RRMS (RAM-MS)",https://clinicaltrials.gov/study/NCT03477500,RECRUITING,"This study is a randomized multicentre, multinational, treatment interventional study of RRMS patients with breakthrough inflammatory disease activity in spite of ongoing standard immunomodulatory medication. The study has two treatment arms; arm A: HSCT (hematopoietic stem cell transplantation) and arm B: alemtuzumab, cladribine or ocrelizumab. A pre-planned 3-year follow-up extension period will be performed depending on future funding.

The aim of the study is to assess the effectiveness and side effects of a new treatment intervention in RRMS; HSCT, and, thereby, the value of HSCT in clinical practice. Data from recently published patient series indicate that HSCT may have a significantly higher treatment effect than currently registered RRMS immunomodulatory treatments. This study will determine the relative role of HSCT versus alemtuzumab, cladribine or ocrelizumab.",NO,Multiple Sclerosis,DRUG: Cyclophosphamide and ATG|DRUG: Alemtuzumab|DRUG: Cladribine Pill|DRUG: Ocrelizumab,ALL,ADULT,PHASE3,INTERVENTIONAL,"Rigshospitalet, Copenhagen, Denmark|VUmc, Amsterdam, Netherlands|Haukeland University Hospital, Bergen, Norway|Akershus University Hospital, Oslo, Norway",Lars Bø|Anne Kristine Lehmann|Astrid Kittang|Einar Kristoffersen|Øivind Torkildsen,
Multiple Sclerosis,NCT03674099,Imatinib for Multiple Sclerosis (MS) Relapses,https://clinicaltrials.gov/study/NCT03674099,UNKNOWN,To investigate if treatment with Imatinib results in a better outcome than standard care in form of Methylprednisolone(MP) after MS-associated relapses.,NO,Multiple Sclerosis,DRUG: Imatinib Mesylate|DRUG: Methylprednisolone,ALL,ADULT,PHASE2,INTERVENTIONAL,"Rigshospitalet, Copenhagen, 2100, Denmark|Hamburg-Eppendorf, Hamburg, 20246, Germany|UKSH Campus Kiel, Kiel, 24105, Germany|Uniklinik KÃ¶ln, KÃ¶ln, 50937, Germany",,The Swedish Research Council
Relapsing-Remitting,NCT05029206,Hematopoietic Stem Cell Transplantation for Treatment of Multiple Sclerosis in Sweden,https://clinicaltrials.gov/study/NCT05029206,COMPLETED,"This is an observational cohort study with retrospective analysis of prospectively collected data. The study cohort is constituted of all patients with relapsing-remitting multiple sclerosis (RRMS) treated with autologous stem cell transplantation (AHSCT) in Sweden from 2004 when the first AHSCT was performed until 31 December 2019. The study aims to describe the effectiveness, safety and patient reported outcomes of AHSCT for MS through real world data. Treatment related mortality will be analyzed from start of mobilization until the end of the study. For other adverse events the data collection will end 3 months post-transplantation. A statistical subgroup comparison of efficacy and safety between the conditioning regimens BEAM-ATG and Cy-ATG will be included within the study.",NO,"Multiple Sclerosis|Multiple Sclerosis, Relapsing-Remitting",PROCEDURE: Autologous hematopoietic stem cell transplantation,ALL,"CHILD, ADULT, OLDER_ADULT",,OBSERVATIONAL,"Sahlgrenska University Hospital, Gothenburg, Sweden|LinkÃ¶ping University Hospital, LinkÃ¶ping, Sweden|SkÃ¥ne University Hospital, Lund, Sweden",Joachim Burman|Thomas Silfverberg,"Karolinska University Hospital|Sahlgrenska University Hospital, Sweden|Uppsala University Hospital"
Myasthenia Gravis,NCT05992025,Digital Phenotyping and Lifestyle Intervention in Patients With Myasthenia Gravis,https://clinicaltrials.gov/study/NCT05992025,RECRUITING,"Myasthenia Gravis (MG) is a chronic autoimmune neurological disorder where an antibody attack of muscle receptors causes fatigable skeletal muscle weakness. In addition to fatigue, several MG patients experience general fatigue. Small supervised studies during 12 weeks of physical exercise interventions have indicated safety and beneficial neuromuscular outcomes in MG patients. Longer and unsupervised studies are required to obtain guidelines for physical activity in MG patients. Further, the development of smart rings enables remote digital supervision of physical activity, sleep, and biological parameters such as heart frequency, number of steps, and temperature. These parameters could add to the lack of biomarkers in MG. The project design is a randomized controlled trial with a lifestyle intervention to improve fatigue in the autoimmune neuromuscular disease Myasthenia Gravis (MG). The intervention includes digital group counseling regarding physical activity, sleep, general health, and digital follow-up with a ""smart ring"" (OURA).",NO,Myasthenia Gravis,BEHAVIORAL: Physical activity|BEHAVIORAL: Sleep hygiene,ALL,"ADULT, OLDER_ADULT",NA,INTERVENTIONAL,"Uppsala University, Uppsala, 75185, Sweden",Anna Rostedt Punga,
Glabellar Frown Lines,NCT02108158,"A Safety and Efficacy Study of Different Injections Volumes of Botulinum Toxin Type A, Azzalure, in the Glabellar Lines",https://clinicaltrials.gov/study/NCT02108158,COMPLETED,"A randomized, evaluator-blinded, comparative, study to evaluate the efficacy and safety of different injection volumes of botulinum toxin type A, Azzalure, in the glabellar lines.",NO,Glabellar Frown Lines,DRUG: Azzalure,FEMALE,ADULT,PHASE4,INTERVENTIONAL,"GÃ¶teborgs Plastikkirurgiska Center, Gothenburg, Sweden|Anna NeuromuskulÃ¤r Konsult, Uppsala, Sweden",Anna Rostedt Punga,
